model,fold,drug_index,drug,side_index,side_effect,true_frequency_label,score,rank,hit15,hit50,hit100,train_positive_count,train_prevalence_rank,prevalence_bin
A3Net,4,155,etoposide,35,anaemia,5,1.8308026790618896,135,0,0,0,177,33,common
A3Net,1,190,glycopyrronium.bromide,258,dry mouth,5,1.751448392868042,128,0,0,0,175,33,common
A3Net,2,613,telaprevir,35,anaemia,5,0.8297584056854248,526,0,0,0,172,32,common
A3Net,2,560,pomalidomide,35,anaemia,5,1.6951708793640137,482,0,0,0,172,32,common
A3Net,2,681,boceprevir,35,anaemia,5,2.352264165878296,150,0,0,0,172,32,common
A3Net,2,536,clofarabine,35,anaemia,5,1.7725951671600342,136,0,0,0,172,32,common
A3Net,7,299,paroxetine,258,dry mouth,5,2.1771414279937744,124,0,0,0,170,33,common
A3Net,0,22,cladribine,432,hyperhidrosis,5,2.165837287902832,138,0,0,0,166,35,common
A3Net,7,99,cevimeline,432,hyperhidrosis,5,2.7921175956726074,105,0,0,0,165,35,common
A3Net,8,185,gemcitabine,904,thrombocytopenia,5,1.0682588815689087,300,0,0,0,160,36,common
A3Net,8,422,samarium.(153Sm).lexidronam,904,thrombocytopenia,5,1.5562150478363037,218,0,0,0,160,36,common
A3Net,0,179,romidepsin,904,thrombocytopenia,5,0.2733564972877502,906,0,0,0,159,37,common
A3Net,4,656,belinostat,904,thrombocytopenia,5,1.7989320755004885,468,0,0,0,159,37,common
A3Net,4,155,etoposide,904,thrombocytopenia,5,1.0613659620285034,301,0,0,0,159,37,common
A3Net,9,39,alprazolam,432,hyperhidrosis,5,1.1642931699752808,259,0,0,0,159,36,common
A3Net,4,297,pamidronic.acid,904,thrombocytopenia,5,1.625355243682861,241,0,0,0,159,37,common
A3Net,4,406,vincristine,904,thrombocytopenia,5,1.7079544067382812,221,0,0,0,159,37,common
A3Net,7,609,nilotinib,904,thrombocytopenia,5,1.7744534015655518,217,0,0,0,159,36,common
A3Net,9,308,pilocarpine,432,hyperhidrosis,5,1.5941840410232544,205,0,0,0,159,36,common
A3Net,4,721,ruxolitinib,904,thrombocytopenia,5,1.254292368888855,166,0,0,0,159,37,common
A3Net,0,22,cladribine,904,thrombocytopenia,5,2.298778533935547,124,0,0,0,159,37,common
A3Net,9,551,desvenlafaxine,432,hyperhidrosis,5,2.5710763931274414,108,0,0,0,159,36,common
A3Net,3,258,mitoxantrone,904,thrombocytopenia,5,2.071920394897461,334,0,0,0,158,39,common
A3Net,3,728,ponatinib,904,thrombocytopenia,5,1.5264623165130615,144,0,0,0,158,39,common
A3Net,1,522,bortezomib,904,thrombocytopenia,5,0.7853588461875916,466,0,0,0,157,37,common
A3Net,1,385,trimetrexate,904,thrombocytopenia,5,1.6679768562316897,124,0,0,0,157,37,common
A3Net,6,266,mycophenolic.acid,904,thrombocytopenia,5,1.8944005966186523,110,0,0,0,157,37,common
A3Net,9,205,indapamide,488,infection,5,1.7317206859588623,108,0,0,0,156,38,common
A3Net,4,509,rifaximin,656,oedema peripheral,5,2.9525671005249023,102,0,0,0,156,38,common
A3Net,8,87,carbamazepine,950,urticaria,5,2.597139835357666,125,0,0,0,155,40,common
A3Net,2,560,pomalidomide,904,thrombocytopenia,5,1.172016143798828,806,0,0,0,153,36,common
A3Net,2,203,ifosfamide,904,thrombocytopenia,5,1.3286761045455933,387,0,0,0,153,36,common
A3Net,2,519,bexarotene,904,thrombocytopenia,5,0.996944010257721,376,0,0,0,153,36,common
A3Net,2,536,clofarabine,904,thrombocytopenia,5,1.3760634660720823,196,0,0,0,153,36,common
A3Net,3,176,foscarnet,488,infection,5,1.2980132102966309,145,0,0,0,153,41,common
A3Net,2,690,carfilzomib,904,thrombocytopenia,5,1.5323060750961304,109,0,0,0,153,36,common
A3Net,5,616,dasatinib,904,thrombocytopenia,5,0.4651259183883667,615,0,0,0,151,38,common
A3Net,6,649,ivermectin,950,urticaria,5,1.695013403892517,230,0,0,0,151,39,common
A3Net,5,684,regorafenib,904,thrombocytopenia,5,1.1543585062026978,199,0,0,0,151,38,common
A3Net,2,79,busulfan,53,anxiety,5,1.329135775566101,176,0,0,0,151,37,common
A3Net,7,651,leuprorelin,656,oedema peripheral,5,3.643697738647461,114,0,0,0,151,39,common
A3Net,0,725,vismodegib,599,muscle spasms,5,1.36167573928833,208,0,0,0,150,41,common
A3Net,5,293,oxaliplatin,950,urticaria,5,2.3455257415771484,156,0,0,0,150,40,common
A3Net,0,574,bazedoxifene,599,muscle spasms,5,1.3015718460083008,145,0,0,0,150,41,common
A3Net,0,179,romidepsin,488,infection,5,0.7378110289573669,634,0,0,0,149,42,common
A3Net,8,479,pemetrexed,720,pharyngitis,5,1.1543312072753906,217,0,0,0,148,45,common
A3Net,1,167,flunisolide,720,pharyngitis,5,2.488801956176758,102,0,0,0,148,42,common
A3Net,0,243,orciprenaline,885,tachycardia,5,0.6837426424026489,656,0,0,0,146,47,common
A3Net,4,749,interferon.alfa-2b,970,vertigo,5,1.8175342082977293,131,0,0,0,145,48,common
A3Net,0,427,dexrazoxane,246,discomfort,5,2.669862985610962,104,0,0,0,145,48,common
A3Net,8,419,decitabine,937,upper respiratory tract infection,5,2.4300992488861084,114,0,0,0,144,51,common
A3Net,0,243,orciprenaline,930,tremor,5,1.022871494293213,369,0,0,0,143,51,common
A3Net,0,359,terbutaline,930,tremor,5,1.5227506160736084,120,0,0,0,143,51,common
A3Net,5,117,clonidine,946,urinary tract infection,5,1.6752917766571045,113,0,0,0,143,45,common
A3Net,0,364,tiagabine,930,tremor,5,1.5207802057266235,113,0,0,0,143,51,common
A3Net,5,293,oxaliplatin,265,dysgeusia,5,2.733217000961304,109,0,0,0,143,46,common
A3Net,5,129,daunorubicin,443,hypersensitivity,5,1.600127935409546,206,0,0,0,142,49,common
A3Net,3,143,valproic.acid,930,tremor,5,0.5344775915145874,553,0,0,0,141,51,common
A3Net,1,190,glycopyrronium.bromide,937,upper respiratory tract infection,5,1.1817171573638916,242,0,0,0,141,47,common
A3Net,9,529,bosentan,937,upper respiratory tract infection,5,1.4745874404907229,163,0,0,0,141,46,common
A3Net,3,234,loxapine,265,dysgeusia,5,2.109499216079712,138,0,0,0,141,50,common
A3Net,1,514,atovaquone,265,dysgeusia,5,2.5155882835388184,129,0,0,0,141,45,common
