drug_row,side_effect_col,label,matched_positive_col,prevalence_bin
1,660,1,660,0
1,266,0,660,0
1,924,0,660,0
1,522,0,660,0
1,477,0,660,0
1,754,0,660,0
1,683,1,683,4
1,180,0,683,4
1,236,0,683,4
1,225,0,683,4
1,74,0,683,4
1,92,0,683,4
1,696,1,696,4
1,215,0,696,4
1,236,0,696,4
1,180,0,696,4
1,2,0,696,4
1,225,0,696,4
1,720,1,720,3
1,539,0,720,3
1,946,0,720,3
1,656,0,720,3
1,808,0,720,3
1,832,0,720,3
1,758,1,758,4
1,74,0,758,4
1,215,0,758,4
1,2,0,758,4
1,225,0,758,4
1,180,0,758,4
1,778,1,778,4
1,180,0,778,4
1,2,0,778,4
1,92,0,778,4
1,215,0,778,4
1,225,0,778,4
1,793,1,793,0
1,477,0,793,0
1,867,0,793,0
1,266,0,793,0
1,40,0,793,0
1,333,0,793,0
1,861,1,861,4
1,215,0,861,4
1,92,0,861,4
1,2,0,861,4
1,74,0,861,4
1,225,0,861,4
1,869,1,869,2
1,275,0,869,2
1,303,0,869,2
1,1,0,869,2
1,984,0,869,2
1,204,0,869,2
1,881,1,881,0
1,333,0,881,0
1,385,0,881,0
1,32,0,881,0
1,562,0,881,0
1,806,0,881,0
1,885,1,885,3
1,656,0,885,3
1,937,0,885,3
1,620,0,885,3
1,539,0,885,3
1,946,0,885,3
1,901,1,901,1
1,630,0,901,1
1,33,0,901,1
1,147,0,901,1
1,464,0,901,1
1,44,0,901,1
1,912,1,912,2
1,21,0,912,2
1,25,0,912,2
1,984,0,912,2
1,431,0,912,2
1,114,0,912,2
1,930,1,930,3
1,488,0,930,3
1,904,0,930,3
1,656,0,930,3
1,946,0,930,3
1,342,0,930,3
1,944,1,944,1
1,774,0,944,1
1,245,0,944,1
1,307,0,944,1
1,689,0,944,1
1,85,0,944,1
1,950,1,950,3
1,946,0,950,3
1,937,0,950,3
1,904,0,950,3
1,832,0,950,3
1,656,0,950,3
1,970,1,970,3
1,539,0,970,3
1,937,0,970,3
1,883,0,970,3
1,832,0,970,3
1,688,0,970,3
1,975,1,975,2
1,361,0,975,2
1,733,0,975,2
1,204,0,975,2
1,984,0,975,2
1,1,0,975,2
1,978,1,978,4
1,180,0,978,4
1,2,0,978,4
1,74,0,978,4
1,215,0,978,4
1,236,0,978,4
2,2,1,2,4
2,273,0,2,4
2,258,0,2,4
2,225,0,2,4
2,861,0,2,4
2,207,0,2,4
2,74,1,74,4
2,207,0,74,4
2,978,0,74,4
2,273,0,74,4
2,468,0,74,4
2,215,0,74,4
2,92,1,92,4
2,215,0,92,4
2,236,0,92,4
2,861,0,92,4
2,258,0,92,4
2,207,0,92,4
2,234,1,234,3
2,488,0,234,3
2,265,0,234,3
2,832,0,234,3
2,620,0,234,3
2,904,0,234,3
2,243,1,243,4
2,225,0,243,4
2,236,0,243,4
2,80,0,243,4
2,269,0,243,4
2,861,0,243,4
2,252,1,252,4
2,468,0,252,4
2,258,0,252,4
2,273,0,252,4
2,978,0,252,4
2,215,0,252,4
2,332,1,332,4
2,207,0,332,4
2,258,0,332,4
2,180,0,332,4
2,468,0,332,4
2,861,0,332,4
2,342,1,342,3
2,539,0,342,3
2,950,0,342,3
2,181,0,342,3
2,937,0,342,3
2,720,0,342,3
2,361,1,361,2
2,21,0,361,2
2,431,0,361,2
2,227,0,361,2
2,303,0,361,2
2,869,0,361,2
2,401,1,401,4
2,273,0,401,4
2,978,0,401,4
2,236,0,401,4
2,861,0,401,4
2,207,0,401,4
2,443,1,443,3
2,808,0,443,3
2,883,0,443,3
2,930,0,443,3
2,53,0,443,3
2,28,0,443,3
2,445,1,445,4
2,236,0,445,4
2,468,0,445,4
2,269,0,445,4
2,180,0,445,4
2,215,0,445,4
2,505,1,505,4
2,180,0,505,4
2,80,0,505,4
2,236,0,505,4
2,215,0,505,4
2,468,0,505,4
2,564,1,564,3
2,883,0,564,3
2,53,0,564,3
2,488,0,564,3
2,930,0,564,3
2,265,0,564,3
2,607,1,607,4
2,225,0,607,4
2,861,0,607,4
2,180,0,607,4
2,80,0,607,4
2,207,0,607,4
2,621,1,621,4
2,35,0,621,4
2,236,0,621,4
2,269,0,621,4
2,468,0,621,4
2,273,0,621,4
2,631,1,631,2
2,869,0,631,2
2,25,0,631,2
2,146,0,631,2
2,392,0,631,2
2,431,0,631,2
2,655,1,655,3
2,28,0,655,3
2,946,0,655,3
2,432,0,655,3
2,904,0,655,3
2,937,0,655,3
2,656,1,656,3
2,808,0,656,3
2,620,0,656,3
2,28,0,656,3
2,539,0,656,3
2,904,0,656,3
2,683,1,683,4
2,468,0,683,4
2,80,0,683,4
2,861,0,683,4
2,180,0,683,4
2,207,0,683,4
2,688,1,688,3
2,950,0,688,3
2,970,0,688,3
2,930,0,688,3
2,539,0,688,3
2,838,0,688,3
2,696,1,696,4
2,180,0,696,4
2,273,0,696,4
2,468,0,696,4
2,207,0,696,4
2,225,0,696,4
2,758,1,758,4
2,215,0,758,4
2,80,0,758,4
2,35,0,758,4
2,468,0,758,4
2,273,0,758,4
2,778,1,778,4
2,861,0,778,4
2,236,0,778,4
2,180,0,778,4
2,207,0,778,4
2,225,0,778,4
2,867,1,867,0
2,806,0,867,0
2,228,0,867,0
2,793,0,867,0
2,318,0,867,0
2,455,0,867,0
3,20,1,20,0
3,660,0,20,0
3,333,0,20,0
3,40,0,20,0
3,754,0,20,0
3,228,0,20,0
3,21,1,21,2
3,1,0,21,2
3,984,0,21,2
3,204,0,21,2
3,146,0,21,2
3,227,0,21,2
3,25,1,25,2
3,1,0,25,2
3,869,0,25,2
3,361,0,25,2
3,132,0,25,2
3,638,0,25,2
3,32,1,32,0
3,477,0,32,0
3,318,0,32,0
3,691,0,32,0
3,228,0,32,0
3,455,0,32,0
3,33,1,33,1
3,71,0,33,1
3,358,0,33,1
3,300,0,33,1
3,827,0,33,1
3,610,0,33,1
3,44,1,44,1
3,774,0,44,1
3,610,0,44,1
3,147,0,44,1
3,358,0,44,1
3,71,0,44,1
3,53,1,53,3
3,838,0,53,3
3,688,0,53,3
3,28,0,53,3
3,946,0,53,3
3,904,0,53,3
3,74,1,74,4
3,225,0,74,4
3,236,0,74,4
3,180,0,74,4
3,778,0,74,4
3,35,0,74,4
3,79,1,79,2
3,733,0,79,2
3,204,0,79,2
3,227,0,79,2
3,869,0,79,2
3,386,0,79,2
3,80,1,80,4
3,2,0,80,4
3,258,0,80,4
3,225,0,80,4
3,35,0,80,4
3,778,0,80,4
3,83,1,83,1
3,147,0,83,1
3,827,0,83,1
3,85,0,83,1
3,22,0,83,1
3,774,0,83,1
3,92,1,92,4
3,35,0,92,4
3,2,0,92,4
3,269,0,92,4
3,258,0,92,4
3,236,0,92,4
3,114,1,114,2
3,204,0,114,2
3,984,0,114,2
3,227,0,114,2
3,975,0,114,2
3,361,0,114,2
3,181,1,181,3
3,720,0,181,3
3,688,0,181,3
3,265,0,181,3
3,904,0,181,3
3,838,0,181,3
3,207,1,207,4
3,35,0,207,4
3,180,0,207,4
3,269,0,207,4
3,225,0,207,4
3,258,0,207,4
3,215,1,215,4
3,258,0,215,4
3,180,0,215,4
3,225,0,215,4
3,778,0,215,4
3,236,0,215,4
3,234,1,234,3
3,28,0,234,3
3,946,0,234,3
3,488,0,234,3
3,720,0,234,3
3,832,0,234,3
3,243,1,243,4
3,180,0,243,4
3,236,0,243,4
3,225,0,243,4
3,2,0,243,4
3,778,0,243,4
3,245,1,245,1
3,22,0,245,1
3,300,0,245,1
3,774,0,245,1
3,827,0,245,1
3,147,0,245,1
3,247,1,247,0
3,455,0,247,0
3,691,0,247,0
3,228,0,247,0
3,881,0,247,0
3,867,0,247,0
3,252,1,252,4
3,269,0,252,4
3,2,0,252,4
3,258,0,252,4
3,225,0,252,4
3,236,0,252,4
3,266,1,266,0
3,477,0,266,0
3,691,0,266,0
3,228,0,266,0
3,40,0,266,0
3,455,0,266,0
3,270,1,270,1
3,827,0,270,1
3,22,0,270,1
3,307,0,270,1
3,279,0,270,1
3,71,0,270,1
3,273,1,273,4
3,35,0,273,4
3,778,0,273,4
3,2,0,273,4
3,269,0,273,4
3,225,0,273,4
3,275,1,275,2
3,638,0,275,2
3,733,0,275,2
3,1,0,275,2
3,392,0,275,2
3,227,0,275,2
3,303,1,303,2
3,227,0,303,2
3,392,0,303,2
3,984,0,303,2
3,460,0,303,2
3,638,0,303,2
3,332,1,332,4
3,180,0,332,4
3,2,0,332,4
3,225,0,332,4
3,236,0,332,4
3,778,0,332,4
3,342,1,342,3
3,904,0,342,3
3,539,0,342,3
3,488,0,342,3
3,688,0,342,3
3,720,0,342,3
3,345,1,345,2
3,460,0,345,2
3,869,0,345,2
3,733,0,345,2
3,984,0,345,2
3,392,0,345,2
3,381,1,381,0
3,318,0,381,0
3,333,0,381,0
3,660,0,381,0
3,986,0,381,0
3,691,0,381,0
3,399,1,399,2
3,1,0,399,2
3,146,0,399,2
3,984,0,399,2
3,975,0,399,2
3,227,0,399,2
3,401,1,401,4
3,778,0,401,4
3,2,0,401,4
3,180,0,401,4
3,35,0,401,4
3,269,0,401,4
3,409,1,409,1
3,279,0,409,1
3,147,0,409,1
3,358,0,409,1
3,307,0,409,1
3,464,0,409,1
3,432,1,432,3
3,832,0,432,3
3,539,0,432,3
3,28,0,432,3
3,838,0,432,3
3,265,0,432,3
3,443,1,443,3
3,832,0,443,3
3,904,0,443,3
3,488,0,443,3
3,539,0,443,3
3,720,0,443,3
3,445,1,445,4
3,236,0,445,4
3,225,0,445,4
3,258,0,445,4
3,269,0,445,4
3,35,0,445,4
3,452,1,452,2
3,460,0,452,2
3,912,0,452,2
3,392,0,452,2
3,975,0,452,2
3,361,0,452,2
3,458,1,458,1
3,610,0,458,1
3,827,0,458,1
3,22,0,458,1
3,279,0,458,1
3,85,0,458,1
3,468,1,468,4
3,225,0,468,4
3,2,0,468,4
3,35,0,468,4
3,778,0,468,4
3,180,0,468,4
3,505,1,505,4
3,180,0,505,4
3,225,0,505,4
3,236,0,505,4
3,778,0,505,4
3,2,0,505,4
3,516,1,516,1
3,307,0,516,1
3,147,0,516,1
3,279,0,516,1
3,610,0,516,1
3,22,0,516,1
3,519,1,519,1
3,307,0,519,1
3,85,0,519,1
3,358,0,519,1
3,774,0,519,1
3,279,0,519,1
3,522,1,522,0
3,562,0,522,0
3,385,0,522,0
3,405,0,522,0
3,691,0,522,0
3,867,0,522,0
3,523,1,523,0
3,986,0,523,0
3,562,0,523,0
3,660,0,523,0
3,754,0,523,0
3,455,0,523,0
3,536,1,536,1
3,774,0,536,1
3,147,0,536,1
3,300,0,536,1
3,85,0,536,1
3,307,0,536,1
3,564,1,564,3
3,832,0,564,3
3,488,0,564,3
3,539,0,564,3
3,265,0,564,3
3,904,0,564,3
3,572,1,572,0
3,660,0,572,0
3,881,0,572,0
3,562,0,572,0
3,754,0,572,0
3,691,0,572,0
3,607,1,607,4
3,180,0,607,4
3,236,0,607,4
3,269,0,607,4
3,225,0,607,4
3,778,0,607,4
3,620,1,620,3
3,832,0,620,3
3,265,0,620,3
3,838,0,620,3
3,28,0,620,3
3,904,0,620,3
3,621,1,621,4
3,778,0,621,4
3,180,0,621,4
3,225,0,621,4
3,2,0,621,4
3,269,0,621,4
3,622,1,622,1
3,464,0,622,1
3,300,0,622,1
3,71,0,622,1
3,307,0,622,1
3,85,0,622,1
3,630,1,630,1
3,22,0,630,1
3,464,0,630,1
3,358,0,630,1
3,147,0,630,1
3,610,0,630,1
3,631,1,631,2
3,386,0,631,2
3,1,0,631,2
3,869,0,631,2
3,227,0,631,2
3,984,0,631,2
3,655,1,655,3
3,838,0,655,3
3,539,0,655,3
3,720,0,655,3
3,946,0,655,3
3,832,0,655,3
3,656,1,656,3
3,946,0,656,3
3,904,0,656,3
3,832,0,656,3
3,265,0,656,3
3,28,0,656,3
3,683,1,683,4
3,225,0,683,4
3,180,0,683,4
3,258,0,683,4
3,2,0,683,4
3,35,0,683,4
3,689,1,689,1
3,307,0,689,1
3,71,0,689,1
3,774,0,689,1
3,827,0,689,1
3,358,0,689,1
3,696,1,696,4
3,2,0,696,4
3,269,0,696,4
3,225,0,696,4
3,236,0,696,4
3,258,0,696,4
3,701,1,701,0
3,660,0,701,0
3,385,0,701,0
3,477,0,701,0
3,333,0,701,0
3,455,0,701,0
3,758,1,758,4
3,269,0,758,4
3,180,0,758,4
3,35,0,758,4
3,258,0,758,4
3,2,0,758,4
3,793,1,793,0
3,986,0,793,0
3,318,0,793,0
3,405,0,793,0
3,660,0,793,0
3,881,0,793,0
3,806,1,806,0
3,986,0,806,0
3,660,0,806,0
3,754,0,806,0
3,405,0,806,0
3,881,0,806,0
3,808,1,808,3
3,904,0,808,3
3,688,0,808,3
3,28,0,808,3
3,488,0,808,3
3,838,0,808,3
3,861,1,861,4
3,778,0,861,4
3,225,0,861,4
3,236,0,861,4
3,180,0,861,4
3,269,0,861,4
3,883,1,883,3
3,488,0,883,3
3,838,0,883,3
3,904,0,883,3
3,946,0,883,3
3,28,0,883,3
3,885,1,885,3
3,838,0,885,3
3,946,0,885,3
3,28,0,885,3
3,265,0,885,3
3,539,0,885,3
3,901,1,901,1
3,85,0,901,1
3,358,0,901,1
3,774,0,901,1
3,300,0,901,1
3,147,0,901,1
3,924,1,924,0
3,691,0,924,0
3,40,0,924,0
3,333,0,924,0
3,562,0,924,0
3,986,0,924,0
3,930,1,930,3
3,539,0,930,3
3,720,0,930,3
3,688,0,930,3
3,265,0,930,3
3,488,0,930,3
3,937,1,937,3
3,688,0,937,3
3,946,0,937,3
3,832,0,937,3
3,539,0,937,3
3,488,0,937,3
3,944,1,944,1
3,300,0,944,1
3,610,0,944,1
3,827,0,944,1
3,22,0,944,1
3,71,0,944,1
3,950,1,950,3
3,265,0,950,3
3,904,0,950,3
3,946,0,950,3
3,838,0,950,3
3,28,0,950,3
3,970,1,970,3
3,946,0,970,3
3,488,0,970,3
3,838,0,970,3
3,832,0,970,3
3,904,0,970,3
3,974,1,974,0
3,40,0,974,0
3,405,0,974,0
3,754,0,974,0
3,333,0,974,0
3,455,0,974,0
3,978,1,978,4
3,778,0,978,4
3,225,0,978,4
3,35,0,978,4
3,2,0,978,4
3,269,0,978,4
4,2,1,2,4
4,696,0,2,4
4,607,0,2,4
4,258,0,2,4
4,225,0,2,4
4,683,0,2,4
4,22,1,22,1
4,83,0,22,1
4,689,0,22,1
4,33,0,22,1
4,270,0,22,1
4,279,0,22,1
4,35,1,35,4
4,778,0,35,4
4,74,0,35,4
4,696,0,35,4
4,252,0,35,4
4,236,0,35,4
4,44,1,44,1
4,944,0,44,1
4,270,0,44,1
4,279,0,44,1
4,71,0,44,1
4,630,0,44,1
4,147,1,147,1
4,279,0,147,1
4,516,0,147,1
4,944,0,147,1
4,519,0,147,1
4,245,0,147,1
4,207,1,207,4
4,332,0,207,4
4,236,0,207,4
4,252,0,207,4
4,778,0,207,4
4,607,0,207,4
4,243,1,243,4
4,236,0,243,4
4,258,0,243,4
4,861,0,243,4
4,505,0,243,4
4,778,0,243,4
4,247,1,247,0
4,806,0,247,0
4,228,0,247,0
4,381,0,247,0
4,385,0,247,0
4,32,0,247,0
4,269,1,269,4
4,215,0,269,4
4,505,0,269,4
4,683,0,269,4
4,92,0,269,4
4,180,0,269,4
4,273,1,273,4
4,236,0,273,4
4,607,0,273,4
4,80,0,273,4
4,861,0,273,4
4,696,0,273,4
4,307,1,307,1
4,827,0,307,1
4,464,0,307,1
4,689,0,307,1
4,458,0,307,1
4,944,0,307,1
4,342,1,342,3
4,539,0,342,3
4,488,0,342,3
4,265,0,342,3
4,808,0,342,3
4,234,0,342,3
4,358,1,358,1
4,83,0,358,1
4,630,0,358,1
4,33,0,358,1
4,464,0,358,1
4,279,0,358,1
4,401,1,401,4
4,74,0,401,4
4,215,0,401,4
4,332,0,401,4
4,92,0,401,4
4,696,0,401,4
4,443,1,443,3
4,539,0,443,3
4,883,0,443,3
4,28,0,443,3
4,838,0,443,3
4,265,0,443,3
4,445,1,445,4
4,258,0,445,4
4,778,0,445,4
4,92,0,445,4
4,683,0,445,4
4,861,0,445,4
4,468,1,468,4
4,236,0,468,4
4,80,0,468,4
4,696,0,468,4
4,332,0,468,4
4,225,0,468,4
4,610,1,610,1
4,33,0,610,1
4,519,0,610,1
4,944,0,610,1
4,279,0,610,1
4,536,0,610,1
4,621,1,621,4
4,236,0,621,4
4,683,0,621,4
4,74,0,621,4
4,258,0,621,4
4,252,0,621,4
4,655,1,655,3
4,28,0,655,3
4,937,0,655,3
4,720,0,655,3
4,970,0,655,3
4,265,0,655,3
4,691,1,691,0
4,405,0,691,0
4,318,0,691,0
4,40,0,691,0
4,701,0,691,0
4,986,0,691,0
4,758,1,758,4
4,74,0,758,4
4,252,0,758,4
4,258,0,758,4
4,861,0,758,4
4,80,0,758,4
4,774,1,774,1
4,85,0,774,1
4,630,0,774,1
4,464,0,774,1
4,516,0,774,1
4,536,0,774,1
4,832,1,832,3
4,539,0,832,3
4,946,0,832,3
4,53,0,832,3
4,930,0,832,3
4,970,0,832,3
4,867,1,867,0
4,266,0,867,0
4,986,0,867,0
4,477,0,867,0
4,40,0,867,0
4,228,0,867,0
4,885,1,885,3
4,946,0,885,3
4,488,0,885,3
4,930,0,885,3
4,656,0,885,3
4,808,0,885,3
4,904,1,904,3
4,181,0,904,3
4,53,0,904,3
4,234,0,904,3
4,432,0,904,3
4,970,0,904,3
4,924,1,924,0
4,266,0,924,0
4,562,0,924,0
4,881,0,924,0
4,572,0,924,0
4,974,0,924,0
4,950,1,950,3
4,937,0,950,3
4,564,0,950,3
4,234,0,950,3
4,930,0,950,3
4,656,0,950,3
4,978,1,978,4
4,683,0,978,4
4,861,0,978,4
4,225,0,978,4
4,258,0,978,4
4,180,0,978,4
5,22,1,22,1
5,147,0,22,1
5,827,0,22,1
5,270,0,22,1
5,85,0,22,1
5,358,0,22,1
5,40,1,40,0
5,660,0,40,0
5,562,0,40,0
5,523,0,40,0
5,806,0,40,0
5,381,0,40,0
5,243,1,243,4
5,696,0,243,4
5,35,0,243,4
5,92,0,243,4
5,401,0,243,4
5,505,0,243,4
5,252,1,252,4
5,225,0,252,4
5,35,0,252,4
5,269,0,252,4
5,445,0,252,4
5,468,0,252,4
5,273,1,273,4
5,861,0,273,4
5,468,0,273,4
5,332,0,273,4
5,269,0,273,4
5,258,0,273,4
5,300,1,300,1
5,71,0,300,1
5,610,0,300,1
5,622,0,300,1
5,774,0,300,1
5,358,0,300,1
5,345,1,345,2
5,1,0,345,2
5,975,0,345,2
5,386,0,345,2
5,984,0,345,2
5,146,0,345,2
5,361,1,361,2
5,204,0,361,2
5,21,0,361,2
5,79,0,361,2
5,114,0,361,2
5,386,0,361,2
5,477,1,477,0
5,381,0,477,0
5,754,0,477,0
5,522,0,477,0
5,881,0,477,0
5,333,0,477,0
5,621,1,621,4
5,207,0,621,4
5,258,0,621,4
5,215,0,621,4
5,607,0,621,4
5,861,0,621,4
5,638,1,638,2
5,114,0,638,2
5,1,0,638,2
5,631,0,638,2
5,306,0,638,2
5,25,0,638,2
5,683,1,683,4
5,92,0,683,4
5,505,0,683,4
5,225,0,683,4
5,215,0,683,4
5,401,0,683,4
5,691,1,691,0
5,881,0,691,0
5,522,0,691,0
5,974,0,691,0
5,701,0,691,0
5,793,0,691,0
5,758,1,758,4
5,207,0,758,4
5,505,0,758,4
5,180,0,758,4
5,861,0,758,4
5,468,0,758,4
5,867,1,867,0
5,754,0,867,0
5,793,0,867,0
5,32,0,867,0
5,455,0,867,0
5,318,0,867,0
5,904,1,904,3
5,539,0,904,3
5,53,0,904,3
5,832,0,904,3
5,488,0,904,3
5,930,0,904,3
5,912,1,912,2
5,25,0,912,2
5,303,0,912,2
5,984,0,912,2
5,733,0,912,2
5,1,0,912,2
5,924,1,924,0
5,806,0,924,0
5,381,0,924,0
5,572,0,924,0
5,32,0,924,0
5,562,0,924,0
5,950,1,950,3
5,181,0,950,3
5,720,0,950,3
5,655,0,950,3
5,265,0,950,3
5,946,0,950,3
5,970,1,970,3
5,488,0,970,3
5,720,0,970,3
5,688,0,970,3
5,838,0,970,3
5,946,0,970,3
5,978,1,978,4
5,607,0,978,4
5,2,0,978,4
5,861,0,978,4
5,207,0,978,4
5,468,0,978,4
5,986,1,986,0
5,974,0,986,0
5,523,0,986,0
5,660,0,986,0
5,806,0,986,0
5,881,0,986,0
6,35,1,35,4
6,758,0,35,4
6,505,0,35,4
6,207,0,35,4
6,696,0,35,4
6,236,0,35,4
6,44,1,44,1
6,536,0,44,1
6,516,0,44,1
6,610,0,44,1
6,944,0,44,1
6,689,0,44,1
6,74,1,74,4
6,225,0,74,4
6,505,0,74,4
6,80,0,74,4
6,758,0,74,4
6,696,0,74,4
6,180,1,180,4
6,758,0,180,4
6,445,0,180,4
6,92,0,180,4
6,258,0,180,4
6,861,0,180,4
6,215,1,215,4
6,2,0,215,4
6,236,0,215,4
6,273,0,215,4
6,696,0,215,4
6,80,0,215,4
6,243,1,243,4
6,225,0,243,4
