drug_index,drug,smiles,murcko_scaffold,split_group,has_murcko_scaffold,n_positive,scaffold_fold
21,naproxen,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)[O-].[Na+],c1ccc2ccccc2c1,c1ccc2ccccc2c1,True,6,7
22,cladribine,C1C(C(OC1N2C=NC3=C2N=C(N=C3N)Cl)CO)O,c1ncc2ncn(C3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,True,100,9
23,doxorubicin,CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)[NH3+])O,O=C1c2ccccc2C(=O)c2cc3c(cc21)CCCC3OC1CCCCO1,O=C1c2ccccc2C(=O)c2cc3c(cc21)CCCC3OC1CCCCO1,True,92,3
24,epirubicin,CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)[NH3+])O,O=C1c2ccccc2C(=O)c2cc3c(cc21)CCCC3OC1CCCCO1,O=C1c2ccccc2C(=O)c2cc3c(cc21)CCCC3OC1CCCCO1,True,22,3
25,fampridine,C1=CN=CC=C1N,c1ccncc1,c1ccncc1,True,13,6
26,phenytoin,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,True,187,1
27,azacitidine,C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N,O=c1ncncn1C1CCCO1,O=c1ncncn1C1CCCO1,True,127,2
28,abacavir,C1CC1NC2=NC(=NC3=C2N=CN3C4CC(C=C4)CO)N,C1=CC(n2cnc3c(NC4CC4)ncnc32)CC1,C1=CC(n2cnc3c(NC4CC4)ncnc32)CC1,True,38,5
29,amphotericin.B,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,O=C1CCCCCCCCCCCC2CCCC(CC(OC3CCCCO3)C=CC=CC=CC=CC=CC=CC=CCCCCO1)O2,O=C1CCCCCCCCCCCC2CCCC(CC(OC3CCCCO3)C=CC=CC=CC=CC=CC=CC=CCCCCO1)O2,True,21,5
30,acebutolol,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C,c1ccccc1,c1ccccc1,True,28,0
31,paracetamol,CC(=O)NC1=CC=C(C=C1)O,c1ccccc1,c1ccccc1,True,33,0
32,aciclovir,C1=NC2=C(N1COCCO)NC(=NC2=O)N,O=c1nc[nH]c2[nH]cnc12,O=c1nc[nH]c2[nH]cnc12,True,51,4
33,albendazole,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,c1ccc2[nH]cnc2c1,c1ccc2[nH]cnc2c1,True,12,3
34,salbutamol,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,c1ccccc1,c1ccccc1,True,76,0
35,alendronic.acid,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN,,ACYCLIC::NCCCC(O)(P(=O)(O)O)P(=O)(O)O,False,19,5
36,alfuzosin,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC,O=C(NCCCNc1ncc2ccccc2n1)C1CCCO1,O=C(NCCCNc1ncc2ccccc2n1)C1CCCO1,True,50,3
37,allopurinol,C1=C2C(=NC=NC2=O)NN1,O=c1ncnc2[nH][nH]cc1-2,O=c1ncnc2[nH][nH]cc1-2,True,5,2
38,alosetron,CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C,O=C1c2c([nH]c3ccccc23)CCN1Cc1c[nH]cn1,O=C1c2c([nH]c3ccccc23)CCN1Cc1c[nH]cn1,True,62,8
39,alprazolam,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,c1ccc(C2=NCc3nncn3-c3ccccc32)cc1,c1ccc(C2=NCc3nncn3-c3ccccc32)cc1,True,142,3
40,amantadine,C1C2CC3CC1CC(C2)(C3)N,C1C2CC3CC1CC(C2)C3,C1C2CC3CC1CC(C2)C3,True,54,2
41,theophylline,CN1C2=C(C(=O)N(C1=O)C)NC=N2,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,True,21,1
42,amiodarone,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCC[NH+](CC)CC)I,O=C(c1ccccc1)c1coc2ccccc12,O=C(c1ccccc1)c1coc2ccccc12,True,22,4
43,amisulpride,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,O=C(NCC1CCCN1)c1ccccc1,O=C(NCC1CCCN1)c1ccccc1,True,40,8
44,amlexanox,CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N,O=c1c2ccccc2oc2ncccc12,O=c1c2ccccc2oc2ncccc12,True,9,6
45,amlodipine,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,C1=CC(c2ccccc2)C=CN1,C1=CC(c2ccccc2)C=CN1,True,7,3
46,amoxicillin,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C,O=C(Cc1ccccc1)NC1C(=O)N2CCSC12,O=C(Cc1ccccc1)NC1C(=O)N2CCSC12,True,37,2
47,amprenavir,CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2CCOC2)O)S(=O)(=O)C3=CC=C(C=C3)N,O=C(NC(CCNS(=O)(=O)c1ccccc1)Cc1ccccc1)OC1CCOC1,O=C(NC(CCNS(=O)(=O)c1ccccc1)Cc1ccccc1)OC1CCOC1,True,34,4
48,amsacrine,COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42,c1ccc(Nc2c3ccccc3nc3ccccc23)cc1,c1ccc(Nc2c3ccccc3nc3ccccc23)cc1,True,10,1
49,anagrelide,C1C2=C(C=CC(=C2Cl)Cl)NC3=NC(=O)CN31,O=C1CN2Cc3ccccc3NC2=N1,O=C1CN2Cc3ccccc3NC2=N1,True,96,4
50,anastrozole,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,c1ccc(Cn2cncn2)cc1,c1ccc(Cn2cncn2)cc1,True,79,5
51,apomorphine,CN1CCC2=CC=CC3=C2C1CC4=C3C(=C(C=C4)O)O,c1ccc2c(c1)CC1NCCc3cccc-2c31,c1ccc2c(c1)CC1NCCc3cccc-2c31,True,18,3
52,apraclonidine,C1CN=C(N1)NC2=C(C=C(C=C2Cl)N)Cl,c1ccc(NC2=NCCN2)cc1,c1ccc(NC2=NCCN2)cc1,True,8,7
53,argatroban,CC1CCN(C(C1)C(=O)O)C(=O)C(CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C,O=C(CNS(=O)(=O)c1cccc2c1NCCC2)N1CCCCC1,O=C(CNS(=O)(=O)c1cccc2c1NCCC2)N1CCCCC1,True,56,4
54,atenolol,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,c1ccccc1,c1ccccc1,True,27,0
55,atorvastatin,CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4,O=C(Nc1ccccc1)c1c[nH]c(-c2ccccc2)c1-c1ccccc1,O=C(Nc1ccccc1)c1c[nH]c(-c2ccccc2)c1-c1ccccc1,True,18,6
56,azathioprine,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],c1nc(Sc2cnc[nH]2)c2[nH]cnc2n1,c1nc(Sc2cnc[nH]2)c2[nH]cnc2n1,True,22,0
57,azelaic.acid,C(CCCC(=O)O)CCCC(=O)O,,ACYCLIC::O=C(O)CCCCCCCC(=O)O,False,8,7
58,azelastine,CN1CCCC(CC1)N2C(=O)C3=CC=CC=C3C(=N2)CC4=CC=C(C=C4)Cl,O=c1c2ccccc2c(Cc2ccccc2)nn1C1CCCNCC1,O=c1c2ccccc2c(Cc2ccccc2)nn1C1CCCNCC1,True,16,6
59,azithromycin,CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,O=C1CC(OC2CCCCO2)CC(OC2CCCCO2)CCCCNCCCCO1,O=C1CC(OC2CCCCO2)CC(OC2CCCCO2)CCCCNCCCCO1,True,32,2
60,aztreonam,CC1C(C(=O)N1S(=O)(=O)O)NC(=O)C(=NOC(C)(C)C(=O)O)C2=CSC(=N2)N,N=C(C(=O)NC1CNC1=O)c1cscn1,N=C(C(=O)NC1CNC1=O)c1cscn1,True,24,8
61,baclofen,C1=CC(=CC=C1C(CC(=O)O)CN)Cl,c1ccccc1,c1ccccc1,True,117,0
62,beclometasone,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)Cl)C,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,True,8,8
63,benazepril,CCOC(=O)C(CCC1=CC=CC=C1)NC2CCC3=CC=CC=C3N(C2=O)CC(=O)O,O=C1Nc2ccccc2CCC1NCCCc1ccccc1,O=C1Nc2ccccc2CCC1NCCCc1ccccc1,True,6,8
64,bepridil,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3,c1ccc(CN(CCN2CCCC2)c2ccccc2)cc1,c1ccc(CN(CCN2CCCC2)c2ccccc2)cc1,True,28,4
65,betahistine,CNCCC1=CC=CC=N1,c1ccncc1,c1ccncc1,True,22,6
66,dexamethasone,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)COP(=O)(O)O)O)C)O)F)C,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,True,17,8
67,betaxolol,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,c1ccc(CCOCC2CC2)cc1,c1ccc(CCOCC2CC2)cc1,True,26,3
68,bicalutamide,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,O=C(CCS(=O)(=O)c1ccccc1)Nc1ccccc1,O=C(CCS(=O)(=O)c1ccccc1)Nc1ccccc1,True,53,1
69,bisoprolol,CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O,c1ccccc1,c1ccccc1,True,50,0
70,brimonidine,C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br,c1cnc2cc(NC3=NCCN3)ccc2n1,c1cnc2cc(NC3=NCCN3)ccc2n1,True,62,0
71,bromazepam,C1C(=O)NC2=C(C=C(C=C2)Br)C(=N1)C3=CC=CC=N3,O=C1CN=C(c2ccccn2)c2ccccc2N1,O=C1CN=C(c2ccccn2)c2ccccc2N1,True,12,5
72,bromocriptine,CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O,O=C(NC1OC2C3CCCN3C(=O)CN2C1=O)C1C=C2c3cccc4[nH]cc(c34)CC2NC1,O=C(NC1OC2C3CCCN3C(=O)CN2C1=O)C1C=C2c3cccc4[nH]cc(c34)CC2NC1,True,43,6
73,budesonide,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C,O=C1C=CC2C(=C1)CCC1C2CCC2C1CC1OCOC12,O=C1C=CC2C(=C1)CCC1C2CCC2C1CC1OCOC12,True,51,7
74,bumetanide,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2,c1ccc(Oc2ccccc2)cc1,c1ccc(Oc2ccccc2)cc1,True,22,9
75,bupivacaine,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C,O=C(Nc1ccccc1)C1CCCCN1,O=C(Nc1ccccc1)C1CCCCN1,True,22,1
76,levobupivacaine,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C,O=C(Nc1ccccc1)C1CCCCN1,O=C(Nc1ccccc1)C1CCCCN1,True,41,1
77,buprenorphine,CC(C)(C)C(C)(C1CC23CCC1(C4C25CCN(C3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)O,c1cc2c3c(c1)OC1C4CCC5(CC4)C(C2)N(CC2CC2)CCC315,c1cc2c3c(c1)OC1C4CCC5(CC4)C(C2)N(CC2CC2)CCC315,True,40,2
78,buspirone,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,True,115,4
79,busulfan,CS(=O)(=O)OCCCCOS(=O)(=O)C,,ACYCLIC::CS(=O)(=O)OCCCCOS(C)(=O)=O,False,73,4
80,butorphanol,C1CCC2(C3CC4=C(C2(C1)CCN3CC5CCC5)C=C(C=C4)O)O,c1ccc2c(c1)CC1C3CCCCC23CCN1CC1CCC1,c1ccc2c(c1)CC1C3CCCCC23CCN1CC1CCC1,True,61,6
81,cabergoline,CCNC(=O)N(CCCN(C)C)C(=O)C1CC2C(CC3=CNC4=CC=CC2=C34)N(C1)CC=C,c1cc2c3c(c[nH]c3c1)CC1NCCCC21,c1cc2c3c(c[nH]c3c1)CC1NCCCC21,True,64,9
82,caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,True,18,1
83,verapamil,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,c1ccc(CCCCNCCc2ccccc2)cc1,c1ccc(CCCCNCCc2ccccc2)cc1,True,31,4
84,calcitriol,CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C,C=C1CCCCC1=CC=C1CCCC2CCCC12,C=C1CCCCC1=CC=C1CCCC2CCCC12,True,7,7
85,candesartan,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)OC(C)OC(=O)OC6CCCCC6,O=C(OCOC(=O)c1cccc2ncn(Cc3ccc(-c4ccccc4-c4nn[nH]n4)cc3)c12)OC1CCCCC1,O=C(OCOC(=O)c1cccc2ncn(Cc3ccc(-c4ccccc4-c4nn[nH]n4)cc3)c12)OC1CCCCC1,True,5,2
86,capsaicin,CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,c1ccccc1,c1ccccc1,True,30,0
87,carbamazepine,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,C1=Cc2ccccc2Nc2ccccc21,C1=Cc2ccccc2Nc2ccccc21,True,147,7
88,carmustine,C(CCl)NC(=O)N(CCCl)N=O,,ACYCLIC::O=NN(CCCl)C(=O)NCCCl,False,49,5
89,carvedilol,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,c1ccc(OCCNCCCOc2cccc3[nH]c4ccccc4c23)cc1,c1ccc(OCCNCCCOc2cccc3[nH]c4ccccc4c23)cc1,True,83,6
90,cefaclor,C1C(=C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)Cl,O=C(Cc1ccccc1)NC1C(=O)N2C=CCSC12,O=C(Cc1ccccc1)NC1C(=O)N2C=CCSC12,True,22,5
91,cefepime,C[N+]1(CCCC1)CC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)[O-],N=C(C(=O)NC1C(=O)N2C=C(C[NH+]3CCCC3)CSC12)c1cscn1,N=C(C(=O)NC1C(=O)N2C=C(C[NH+]3CCCC3)CSC12)c1cscn1,True,15,1
92,cefprozil,CC=CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)SC1)C(=O)O,O=C(Cc1ccccc1)NC1C(=O)N2C=CCSC12,O=C(Cc1ccccc1)NC1C(=O)N2C=CCSC12,True,17,5
93,ceftazidime,CC(C)(C(=O)O)ON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-],N=C(C(=O)NC1C(=O)N2C=C(C[n+]3ccccc3)CSC12)c1cscn1,N=C(C(=O)NC1C(=O)N2C=C(C[n+]3ccccc3)CSC12)c1cscn1,True,36,7
94,ceftriaxone,CN1C(=NC(=O)C(=N1)[O-])SCC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)[O-],N=C(C(=O)NC1C(=O)N2C=C(CSc3nc(=O)cn[nH]3)CSC12)c1cscn1,N=C(C(=O)NC1C(=O)N2C=C(CSc3nc(=O)cn[nH]3)CSC12)c1cscn1,True,22,0
95,celecoxib,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,c1ccc(-c2ccnn2-c2ccccc2)cc1,c1ccc(-c2ccnn2-c2ccccc2)cc1,True,34,3
96,cefixime,C=CC1=C(N2C(C(C2=O)NC(=O)C(=NOCC(=O)O)C3=CSC(=N3)N)SC1)C(=O)O,N=C(C(=O)NC1C(=O)N2C=CCSC12)c1cscn1,N=C(C(=O)NC1C(=O)N2C=CCSC12)c1cscn1,True,5,3
97,cerivastatin,CC(C)C1=C(C(=C(C(=N1)C(C)C)C=CC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)COC,c1ccc(-c2ccncc2)cc1,c1ccc(-c2ccncc2)cc1,True,7,1
98,cetirizine,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,c1ccc(C(c2ccccc2)N2CCNCC2)cc1,c1ccc(C(c2ccccc2)N2CCNCC2)cc1,True,17,6
99,cevimeline,CC1OC2(CN3CCC2CC3)CS1,C1OC2(CS1)CN1CCC2CC1,C1OC2(CS1)CN1CCC2CC1,True,25,5
100,chlorambucil,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,c1ccccc1,c1ccccc1,True,11,0
101,chlortalidone,C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O,O=C1NC(c2ccccc2)c2ccccc21,O=C1NC(c2ccccc2)c2ccccc21,True,37,3
102,ciclopirox,CC1=CC(=O)N(C(=C1)C2CCCCC2)O,O=c1cccc(C2CCCCC2)[nH]1,O=c1cccc(C2CCCCC2)[nH]1,True,9,1
103,cilazapril,CCOC(=O)C(CCC1=CC=CC=C1)NC2CCCN3CCCC(N3C2=O)C(=O)O,O=C1C(NCCCc2ccccc2)CCCN2CCCCN12,O=C1C(NCCCc2ccccc2)CCCN2CCCCN12,True,15,8
104,cilostazol,C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,True,20,2
105,cimetidine,CC1=C(N=CN1)CSCCNC(=NC)NC#N,c1c[nH]cn1,c1c[nH]cn1,True,27,5
106,ciprofloxacin,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,True,123,4
107,levofloxacin,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,True,6,4
108,citalopram,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,c1ccc(C2OCc3ccccc32)cc1,c1ccc(C2OCc3ccccc32)cc1,True,296,7
109,escitalopram,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,c1ccc(C2OCc3ccccc32)cc1,c1ccc(C2OCc3ccccc32)cc1,True,383,7
110,clindamycin,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)Cl,O=C(NCC1CCCCO1)C1CCCN1,O=C(NCC1CCCCO1)C1CCCN1,True,36,7
111,clobazam,CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,O=C1CC(=O)N(c2ccccc2)c2ccccc2N1,O=C1CC(=O)N(c2ccccc2)c2ccccc2N1,True,31,8
112,clobetasol,CCC(=O)OC1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)C(=O)CCl,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,True,10,8
113,clobetasone,CCCC(=O)OC1(C(CC2C1(CC(=O)C3(C2CCC4=CC(=O)C=CC43C)F)C)C)C(=O)CCl,O=C1C=CC2C(=C1)CCC1C3CCCC3CC(=O)C21,O=C1C=CC2C(=C1)CCC1C3CCCC3CC(=O)C21,True,10,2
114,clomifene,CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,True,12,2
115,clomipramine,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,c1ccc2c(c1)CCc1ccccc1N2,c1ccc2c(c1)CCc1ccccc1N2,True,300,8
116,clonazepam,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl,O=C1CN=C(c2ccccc2)c2ccccc2N1,O=C1CN=C(c2ccccc2)c2ccccc2N1,True,35,5
117,clonidine,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl,c1ccc(NC2=NCCN2)cc1,c1ccc(NC2=NCCN2)cc1,True,47,7
118,clopidogrel,COC(=O)C(C1=CC=CC=C1Cl)N2CCC3=C(C2)C=CS3,c1ccc(CN2CCc3sccc3C2)cc1,c1ccc(CN2CCc3sccc3C2)cc1,True,55,5
119,clozapine,CN1CCN(CC1)C2=C3C=CC=CC3=NC4=C(N2)C=C(C=C4)Cl,c1ccc2c(c1)N=c1ccccc1=C(N1CCNCC1)N2,c1ccc2c(c1)N=c1ccccc1=C(N1CCNCC1)N2,True,65,1
120,colchicine,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,O=c1cccc2c(c1)CCCc1ccccc1-2,O=c1cccc2c(c1)CCCc1ccccc1-2,True,9,2
121,cromoglicic.acid,C1=CC2=C(C(=C1)OCC(COC3=CC=CC4=C3C(=O)C=C(O4)C(=O)[O-])O)C(=O)C=C(O2)C(=O)[O-],O=c1ccoc2cccc(OCCCOc3cccc4occc(=O)c34)c12,O=c1ccoc2cccc(OCCCOc3cccc4occc(=O)c34)c12,True,9,0
122,cyclobenzaprine,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31,C=C1c2ccccc2C=Cc2ccccc21,C=C1c2ccccc2C=Cc2ccccc21,True,17,9
123,cyclophosphamide,C1CNP(=O)(OC1)N(CCCl)CCCl,O=[PH]1NCCCO1,O=[PH]1NCCCO1,True,8,4
