drug_index,positive_side_index,control_side_index,fold,positive_prevalence,control_prevalence,positive_prevalence_group,positive_is_top100,control_is_top100
195,689,856,7,57.0,57.0,frequent,False,False
195,689,109,7,57.0,56.0,frequent,False,False
195,689,131,7,57.0,56.0,frequent,False,False
195,22,174,7,43.0,43.0,frequent,False,False
195,22,239,7,43.0,43.0,frequent,False,False
195,22,264,7,43.0,43.0,frequent,False,False
195,22,353,7,43.0,43.0,frequent,False,False
195,22,435,7,43.0,42.0,frequent,False,False
195,307,45,7,46.0,46.0,frequent,False,False
195,307,76,7,46.0,46.0,frequent,False,False
195,307,210,7,46.0,46.0,frequent,False,False
195,307,310,7,46.0,46.0,frequent,False,False
195,307,740,7,46.0,46.0,frequent,False,False
195,443,53,7,150.0,151.0,frequent,True,True
195,443,342,7,150.0,151.0,frequent,True,True
195,443,656,7,150.0,151.0,frequent,True,True
195,443,599,7,150.0,147.0,frequent,True,True
195,443,720,7,150.0,147.0,frequent,True,True
462,443,246,5,142.0,142.0,frequent,True,True
462,443,265,5,142.0,143.0,frequent,True,True
462,443,946,5,142.0,143.0,frequent,True,True
462,443,937,5,142.0,140.0,frequent,True,True
462,443,930,5,142.0,139.0,frequent,True,True
175,443,53,7,150.0,151.0,frequent,True,True
175,443,342,7,150.0,151.0,frequent,True,True
175,443,950,7,150.0,149.0,frequent,True,True
175,443,720,7,150.0,147.0,frequent,True,True
175,443,885,7,150.0,146.0,frequent,True,True
45,443,265,0,146.0,146.0,frequent,True,True
45,443,885,0,146.0,146.0,frequent,True,True
45,443,246,0,146.0,145.0,frequent,True,True
45,443,720,0,146.0,147.0,frequent,True,True
45,443,838,0,146.0,145.0,frequent,True,True
490,443,970,4,145.0,145.0,frequent,True,True
490,443,930,4,145.0,148.0,frequent,True,True
490,443,946,4,145.0,148.0,frequent,True,True
490,443,265,4,145.0,141.0,frequent,True,True
490,443,885,4,145.0,149.0,frequent,True,True
73,443,937,6,148.0,144.0,frequent,True,True
73,443,246,6,148.0,142.0,frequent,True,True
73,443,885,6,148.0,141.0,frequent,True,True
73,443,930,6,148.0,140.0,frequent,True,True
73,443,53,6,148.0,157.0,frequent,True,True
244,443,930,2,140.0,139.0,frequent,True,True
244,443,599,2,140.0,142.0,frequent,True,True
244,443,937,2,140.0,138.0,frequent,True,True
244,443,246,2,140.0,137.0,frequent,True,True
244,443,720,2,140.0,137.0,frequent,True,True
310,443,342,6,148.0,151.0,frequent,True,True
310,443,950,6,148.0,151.0,frequent,True,True
310,443,885,6,148.0,141.0,frequent,True,True
310,443,488,6,148.0,156.0,frequent,True,True
310,443,930,6,148.0,140.0,frequent,True,True
37,443,720,4,145.0,145.0,frequent,True,True
37,443,970,4,145.0,145.0,frequent,True,True
37,443,930,4,145.0,148.0,frequent,True,True
37,443,946,4,145.0,148.0,frequent,True,True
37,443,265,4,145.0,141.0,frequent,True,True
361,443,599,3,150.0,151.0,frequent,True,True
361,443,488,3,150.0,153.0,frequent,True,True
361,443,720,3,150.0,147.0,frequent,True,True
361,443,885,3,150.0,147.0,frequent,True,True
361,443,246,3,150.0,146.0,frequent,True,True
195,306,361,7,95.0,95.0,frequent,True,True
195,306,452,7,95.0,95.0,frequent,True,True
195,306,460,7,95.0,94.0,frequent,True,True
195,306,638,7,95.0,96.0,frequent,True,True
195,306,25,7,95.0,93.0,frequent,True,True
45,215,505,0,248.0,243.0,frequent,True,True
45,215,683,0,248.0,239.0,frequent,True,True
45,215,129,0,248.0,259.0,frequent,True,True
45,215,273,0,248.0,235.0,frequent,True,True
45,215,225,0,248.0,228.0,frequent,True,True
195,242,6,7,50.0,50.0,frequent,False,False
195,242,102,7,50.0,50.0,frequent,False,False
195,242,33,7,50.0,49.0,frequent,False,False
195,242,141,7,50.0,49.0,frequent,False,False
195,242,154,7,50.0,51.0,frequent,False,False
195,962,528,7,20.0,20.0,middle,False,False
195,962,611,7,20.0,20.0,middle,False,False
195,962,633,7,20.0,20.0,middle,False,False
195,962,642,7,20.0,20.0,middle,False,False
195,962,775,7,20.0,20.0,middle,False,False
45,962,47,0,18.0,18.0,middle,False,False
45,962,94,0,18.0,18.0,middle,False,False
45,962,151,0,18.0,18.0,middle,False,False
45,962,165,0,18.0,18.0,middle,False,False
45,962,285,0,18.0,18.0,middle,False,False
195,885,946,7,146.0,146.0,frequent,True,True
195,885,599,7,146.0,147.0,frequent,True,True
195,885,720,7,146.0,147.0,frequent,True,True
195,885,246,7,146.0,142.0,frequent,True,True
195,885,265,7,146.0,142.0,frequent,True,True
195,207,332,7,283.0,291.0,frequent,True,True
195,207,758,7,283.0,293.0,frequent,True,True
195,207,129,7,283.0,265.0,frequent,True,True
195,207,604,7,283.0,260.0,frequent,True,True
195,207,269,7,283.0,255.0,frequent,True,True
195,883,146,7,116.0,117.0,frequent,True,True
195,883,491,7,116.0,115.0,frequent,True,True
195,883,551,7,116.0,117.0,frequent,True,True
195,883,733,7,116.0,113.0,frequent,True,True
195,883,21,7,116.0,112.0,frequent,True,True
527,883,491,0,118.0,119.0,frequent,True,True
527,883,551,0,118.0,119.0,frequent,True,True
527,883,146,0,118.0,114.0,frequent,True,True
527,883,733,0,118.0,114.0,frequent,True,True
527,883,631,0,118.0,112.0,frequent,True,True
475,883,491,0,118.0,119.0,frequent,True,True
475,883,551,0,118.0,119.0,frequent,True,True
475,883,146,0,118.0,114.0,frequent,True,True
475,883,733,0,118.0,114.0,frequent,True,True
475,883,476,0,118.0,126.0,frequent,True,True
45,883,491,0,118.0,119.0,frequent,True,True
45,883,551,0,118.0,119.0,frequent,True,True
45,883,21,0,118.0,115.0,frequent,True,True
45,883,146,0,118.0,114.0,frequent,True,True
45,883,733,0,118.0,114.0,frequent,True,True
195,44,39,7,72.0,72.0,frequent,False,False
195,44,83,7,72.0,71.0,frequent,False,False
195,44,358,7,72.0,73.0,frequent,False,False
195,44,359,7,72.0,71.0,frequent,False,False
195,44,674,7,72.0,71.0,frequent,False,False
45,44,39,0,73.0,73.0,frequent,False,False
45,44,674,0,73.0,73.0,frequent,False,False
45,44,359,0,73.0,74.0,frequent,False,False
45,44,585,0,73.0,72.0,frequent,False,False
45,44,725,0,73.0,72.0,frequent,False,False
195,304,79,7,82.0,82.0,frequent,True,True
195,304,673,7,82.0,82.0,frequent,True,True
195,304,4,7,82.0,83.0,frequent,True,True
195,304,227,7,82.0,83.0,frequent,True,True
195,304,259,7,82.0,83.0,frequent,True,True
45,92,225,0,216.0,228.0,frequent,True,True
45,92,273,0,216.0,235.0,frequent,True,True
45,92,334,0,216.0,195.0,frequent,True,True
45,92,445,0,216.0,193.0,frequent,True,True
45,92,683,0,216.0,239.0,frequent,True,True
195,180,258,7,174.0,170.0,frequent,True,True
195,180,35,7,174.0,182.0,frequent,True,True
195,180,696,7,174.0,182.0,frequent,True,True
195,180,432,7,174.0,165.0,frequent,True,True
195,180,904,7,174.0,159.0,frequent,True,True
195,401,243,7,461.0,426.0,frequent,True,True
195,401,80,7,461.0,388.0,frequent,True,True
195,401,758,7,461.0,293.0,frequent,True,True
195,401,332,7,461.0,291.0,frequent,True,True
195,401,129,7,461.0,265.0,frequent,True,True
542,401,758,5,463.0,292.0,frequent,True,True
542,401,332,5,463.0,290.0,frequent,True,True
542,401,683,5,463.0,235.0,frequent,True,True
542,401,468,5,463.0,191.0,frequent,True,True
542,401,607,5,463.0,188.0,frequent,True,True
45,401,243,0,469.0,417.0,frequent,True,True
45,401,978,0,469.0,403.0,frequent,True,True
45,401,236,0,469.0,367.0,frequent,True,True
45,401,758,0,469.0,301.0,frequent,True,True
45,401,207,0,469.0,279.0,frequent,True,True
529,401,80,9,457.0,381.0,frequent,True,True
529,401,332,9,457.0,289.0,frequent,True,True
529,401,207,9,457.0,280.0,frequent,True,True
529,401,129,9,457.0,259.0,frequent,True,True
529,401,215,9,457.0,256.0,frequent,True,True
245,401,243,3,456.0,420.0,frequent,True,True
245,401,621,3,456.0,498.0,frequent,True,True
245,401,978,3,456.0,403.0,frequent,True,True
245,401,80,3,456.0,390.0,frequent,True,True
245,401,2,3,456.0,311.0,frequent,True,True
195,978,80,7,405.0,388.0,frequent,True,True
195,978,243,7,405.0,426.0,frequent,True,True
195,978,758,7,405.0,293.0,frequent,True,True
195,978,332,7,405.0,291.0,frequent,True,True
195,978,129,7,405.0,265.0,frequent,True,True
195,468,861,7,193.0,194.0,frequent,True,True
195,468,334,7,193.0,191.0,frequent,True,True
195,468,445,7,193.0,191.0,frequent,True,True
195,468,35,7,193.0,182.0,frequent,True,True
195,468,696,7,193.0,182.0,frequent,True,True
45,468,334,0,194.0,195.0,frequent,True,True
45,468,445,0,194.0,193.0,frequent,True,True
45,468,696,0,194.0,190.0,frequent,True,True
45,468,35,0,194.0,185.0,frequent,True,True
45,468,180,0,194.0,182.0,frequent,True,True
195,377,95,7,21.0,21.0,middle,False,False
195,377,139,7,21.0,21.0,middle,False,False
195,377,152,7,21.0,21.0,middle,False,False
195,377,226,7,21.0,21.0,middle,False,False
195,377,284,7,21.0,21.0,middle,False,False
195,607,861,7,193.0,194.0,frequent,True,True
195,607,334,7,193.0,191.0,frequent,True,True
195,607,445,7,193.0,191.0,frequent,True,True
195,607,35,7,193.0,182.0,frequent,True,True
195,607,696,7,193.0,182.0,frequent,True,True
45,607,334,0,200.0,195.0,frequent,True,True
45,607,445,0,200.0,193.0,frequent,True,True
45,607,696,0,200.0,190.0,frequent,True,True
45,607,35,0,200.0,185.0,frequent,True,True
45,607,180,0,200.0,182.0,frequent,True,True
244,607,445,2,185.0,186.0,frequent,True,True
244,607,334,2,185.0,182.0,frequent,True,True
244,607,696,2,185.0,178.0,frequent,True,True
244,607,468,2,185.0,193.0,frequent,True,True
244,607,258,2,185.0,174.0,frequent,True,True
195,912,736,7,86.0,84.0,frequent,True,True
195,912,4,7,86.0,83.0,frequent,True,True
195,912,227,7,86.0,83.0,frequent,True,True
195,912,259,7,86.0,83.0,frequent,True,True
195,912,387,7,86.0,83.0,frequent,True,True
531,912,736,7,86.0,84.0,frequent,True,True
531,912,4,7,86.0,83.0,frequent,True,True
531,912,227,7,86.0,83.0,frequent,True,True
531,912,259,7,86.0,83.0,frequent,True,True
531,912,387,7,86.0,83.0,frequent,True,True
195,950,53,7,149.0,151.0,frequent,True,True
195,950,342,7,149.0,151.0,frequent,True,True
195,950,599,7,149.0,147.0,frequent,True,True
195,950,656,7,149.0,151.0,frequent,True,True
195,950,720,7,149.0,147.0,frequent,True,True
195,519,13,7,53.0,53.0,frequent,False,False
195,519,540,7,53.0,53.0,frequent,False,False
195,519,943,7,53.0,53.0,frequent,False,False
195,519,278,7,53.0,54.0,frequent,False,False
195,519,557,7,53.0,54.0,frequent,False,False
498,519,13,1,57.0,57.0,frequent,False,False
498,519,109,1,57.0,57.0,frequent,False,False
498,519,689,1,57.0,57.0,frequent,False,False
498,519,856,1,57.0,57.0,frequent,False,False
498,519,548,1,57.0,56.0,frequent,False,False
319,132,684,9,97.0,97.0,frequent,True,True
319,132,361,9,97.0,96.0,frequent,True,True
319,132,638,9,97.0,98.0,frequent,True,True
319,132,204,9,97.0,99.0,frequent,True,True
319,132,452,9,97.0,95.0,frequent,True,True
527,80,236,0,392.0,367.0,frequent,True,True
527,80,2,0,392.0,311.0,frequent,True,True
527,80,364,0,392.0,307.0,frequent,True,True
527,80,758,0,392.0,301.0,frequent,True,True
527,80,604,0,392.0,273.0,frequent,True,True
475,234,181,0,135.0,133.0,frequent,True,True
475,234,688,0,135.0,132.0,frequent,True,True
475,234,832,0,135.0,132.0,frequent,True,True
475,234,199,0,135.0,131.0,frequent,True,True
475,234,28,0,135.0,130.0,frequent,True,True
527,28,564,0,130.0,128.0,frequent,True,True
527,28,620,0,130.0,128.0,frequent,True,True
527,28,688,0,130.0,132.0,frequent,True,True
527,28,832,0,130.0,132.0,frequent,True,True
527,28,181,0,130.0,133.0,frequent,True,True
462,28,539,5,127.0,129.0,frequent,True,True
462,28,564,5,127.0,125.0,frequent,True,True
462,28,181,5,127.0,124.0,frequent,True,True
462,28,476,5,127.0,123.0,frequent,True,True
462,28,688,5,127.0,133.0,frequent,True,True
45,269,129,0,265.0,259.0,frequent,True,True
45,269,604,0,265.0,273.0,frequent,True,True
45,269,207,0,265.0,279.0,frequent,True,True
45,269,505,0,265.0,243.0,frequent,True,True
45,269,683,0,265.0,239.0,frequent,True,True
487,488,970,5,146.0,144.0,frequent,True,True
487,488,53,5,146.0,149.0,frequent,True,True
487,488,246,5,146.0,142.0,frequent,True,True
487,488,838,5,146.0,142.0,frequent,True,True
487,488,950,5,146.0,150.0,frequent,True,True
45,488,599,0,149.0,150.0,frequent,True,True
45,488,656,0,149.0,148.0,frequent,True,True
45,488,720,0,149.0,147.0,frequent,True,True
45,488,970,0,149.0,151.0,frequent,True,True
45,488,265,0,149.0,146.0,frequent,True,True
490,488,342,4,153.0,154.0,frequent,True,True
490,488,599,4,153.0,151.0,frequent,True,True
490,488,656,4,153.0,156.0,frequent,True,True
490,488,885,4,153.0,149.0,frequent,True,True
490,488,930,4,153.0,148.0,frequent,True,True
73,488,53,6,156.0,157.0,frequent,True,True
73,488,904,6,156.0,157.0,frequent,True,True
73,488,655,6,156.0,165.0,frequent,True,True
73,488,937,6,156.0,144.0,frequent,True,True
73,488,180,6,156.0,170.0,frequent,True,True
27,488,342,6,156.0,151.0,frequent,True,True
27,488,930,6,156.0,140.0,frequent,True,True
27,488,970,6,156.0,139.0,frequent,True,True
27,488,265,6,156.0,138.0,frequent,True,True
27,488,258,6,156.0,175.0,frequent,True,True
527,332,758,0,301.0,301.0,frequent,True,True
527,332,364,0,301.0,307.0,frequent,True,True
527,332,2,0,301.0,311.0,frequent,True,True
527,332,604,0,301.0,273.0,frequent,True,True
527,332,129,0,301.0,259.0,frequent,True,True
45,252,243,0,442.0,417.0,frequent,True,True
45,252,978,0,442.0,403.0,frequent,True,True
45,252,236,0,442.0,367.0,frequent,True,True
45,252,758,0,442.0,301.0,frequent,True,True
45,252,207,0,442.0,279.0,frequent,True,True
558,156,110,6,29.0,29.0,frequent,False,False
558,156,126,6,29.0,29.0,frequent,False,False
558,156,155,6,29.0,29.0,frequent,False,False
558,156,247,6,29.0,29.0,frequent,False,False
558,156,271,6,29.0,29.0,frequent,False,False
542,445,468,5,191.0,191.0,frequent,True,True
542,445,607,5,191.0,188.0,frequent,True,True
542,445,35,5,191.0,178.0,frequent,True,True
542,445,180,5,191.0,165.0,frequent,True,True
542,445,655,5,191.0,165.0,frequent,True,True
527,861,607,0,198.0,200.0,frequent,True,True
527,861,468,0,198.0,194.0,frequent,True,True
527,861,445,0,198.0,193.0,frequent,True,True
527,861,35,0,198.0,185.0,frequent,True,True
527,861,74,0,198.0,215.0,frequent,True,True
527,21,146,0,115.0,114.0,frequent,True,True
527,21,733,0,115.0,114.0,frequent,True,True
527,21,631,0,115.0,112.0,frequent,True,True
527,21,491,0,115.0,119.0,frequent,True,True
527,21,551,0,115.0,119.0,frequent,True,True
527,53,904,0,160.0,159.0,frequent,True,True
527,53,342,0,160.0,156.0,frequent,True,True
527,53,432,0,160.0,166.0,frequent,True,True
527,53,950,0,160.0,153.0,frequent,True,True
527,53,970,0,160.0,151.0,frequent,True,True
220,53,488,1,155.0,153.0,frequent,True,True
220,53,656,1,155.0,152.0,frequent,True,True
220,53,950,1,155.0,159.0,frequent,True,True
220,53,655,1,155.0,162.0,frequent,True,True
220,53,720,1,155.0,148.0,frequent,True,True
527,193,516,0,45.0,45.0,frequent,False,False
527,193,590,0,45.0,45.0,frequent,False,False
527,193,767,0,45.0,45.0,frequent,False,False
527,193,789,0,45.0,45.0,frequent,False,False
527,193,22,0,45.0,44.0,frequent,False,False
475,567,87,0,32.0,32.0,frequent,False,False
475,567,156,0,32.0,32.0,frequent,False,False
475,567,271,0,32.0,32.0,frequent,False,False
475,567,374,0,32.0,32.0,frequent,False,False
475,567,489,0,32.0,32.0,frequent,False,False
475,270,71,0,75.0,75.0,frequent,False,False
475,270,43,0,75.0,76.0,frequent,False,False
475,270,83,0,75.0,76.0,frequent,False,False
475,270,358,0,75.0,76.0,frequent,False,False
475,270,359,0,75.0,74.0,frequent,False,False
542,829,800,5,5.0,5.0,rare,False,False
542,829,811,5,5.0,5.0,rare,False,False
542,829,816,5,5.0,5.0,rare,False,False
542,829,855,5,5.0,5.0,rare,False,False
542,829,865,5,5.0,5.0,rare,False,False
45,409,82,0,62.0,62.0,frequent,False,False
45,409,362,0,62.0,62.0,frequent,False,False
45,409,250,0,62.0,63.0,frequent,False,False
45,409,327,0,62.0,61.0,frequent,False,False
45,409,458,0,62.0,61.0,frequent,False,False
220,409,85,1,61.0,61.0,frequent,False,False
220,409,250,1,61.0,60.0,frequent,False,False
220,409,327,1,61.0,60.0,frequent,False,False
220,409,362,1,61.0,62.0,frequent,False,False
220,409,492,1,61.0,60.0,frequent,False,False
45,688,832,0,132.0,132.0,frequent,True,True
45,688,181,0,132.0,133.0,frequent,True,True
45,688,199,0,132.0,131.0,frequent,True,True
45,688,28,0,132.0,130.0,frequent,True,True
45,688,539,0,132.0,134.0,frequent,True,True
538,789,141,3,49.0,49.0,frequent,False,False
538,789,210,3,49.0,49.0,frequent,False,False
538,789,221,3,49.0,49.0,frequent,False,False
538,789,239,3,49.0,49.0,frequent,False,False
538,789,310,3,49.0,49.0,frequent,False,False
485,789,223,4,50.0,50.0,frequent,False,False
485,789,447,4,50.0,50.0,frequent,False,False
485,789,566,4,50.0,50.0,frequent,False,False
485,789,570,4,50.0,50.0,frequent,False,False
485,789,723,4,50.0,50.0,frequent,False,False
485,531,288,4,6.0,6.0,rare,False,False
485,531,292,4,6.0,6.0,rare,False,False
485,531,325,4,6.0,6.0,rare,False,False
485,531,343,4,6.0,6.0,rare,False,False
485,531,417,4,6.0,6.0,rare,False,False
244,531,5,2,7.0,7.0,rare,False,False
244,531,7,2,7.0,7.0,rare,False,False
244,531,16,2,7.0,7.0,rare,False,False
244,531,37,2,7.0,7.0,rare,False,False
244,531,52,2,7.0,7.0,rare,False,False
498,491,476,1,120.0,120.0,frequent,True,True
498,491,733,1,120.0,119.0,frequent,True,True
498,491,181,1,120.0,122.0,frequent,True,True
498,491,564,1,120.0,122.0,frequent,True,True
498,491,620,1,120.0,123.0,frequent,True,True
73,373,124,6,28.0,28.0,frequent,False,False
73,373,344,6,28.0,28.0,frequent,False,False
73,373,395,6,28.0,28.0,frequent,False,False
73,373,437,6,28.0,28.0,frequent,False,False
73,373,461,6,28.0,28.0,frequent,False,False
319,147,22,9,44.0,43.0,frequent,False,False
319,147,279,9,44.0,43.0,frequent,False,False
319,147,310,9,44.0,43.0,frequent,False,False
319,147,435,9,44.0,43.0,frequent,False,False
319,147,264,9,44.0,42.0,frequent,False,False
73,167,20,6,33.0,33.0,frequent,False,False
73,167,87,6,33.0,33.0,frequent,False,False
73,167,158,6,33.0,33.0,frequent,False,False
73,167,318,6,33.0,33.0,frequent,False,False
73,167,350,6,33.0,33.0,frequent,False,False
585,405,9,1,24.0,24.0,middle,False,False
585,405,95,1,24.0,24.0,middle,False,False
585,405,282,1,24.0,24.0,middle,False,False
585,405,293,1,24.0,24.0,middle,False,False
585,405,315,1,24.0,24.0,middle,False,False
220,164,91,1,8.0,8.0,rare,False,False
220,164,98,1,8.0,8.0,rare,False,False
220,164,100,1,8.0,8.0,rare,False,False
220,164,135,1,8.0,8.0,rare,False,False
220,164,138,1,8.0,8.0,rare,False,False
700,806,128,7,13.0,13.0,middle,False,False
700,806,192,7,13.0,13.0,middle,False,False
700,806,214,7,13.0,13.0,middle,False,False
700,806,230,7,13.0,13.0,middle,False,False
700,806,231,7,13.0,13.0,middle,False,False
