drug_index,positive_side_index,control_side_index,fold,positive_prevalence,control_prevalence,positive_prevalence_group,positive_is_top100,control_is_top100,model,positive_score,control_score
45,778,758,0,361.0,301.0,frequent,True,True,CAFNet,3.6767499446868896,3.871959209442138
45,778,758,0,361.0,301.0,frequent,True,True,CAFNet-D,1.1522576808929443,0.567277193069458
45,778,758,0,361.0,301.0,frequent,True,True,CAFNet-DG,2.1620545864105227,1.88914999961853
45,778,758,0,361.0,301.0,frequent,True,True,Global popularity,361.0,301.0
45,778,207,0,361.0,279.0,frequent,True,True,CAFNet,3.6767499446868896,3.694730043411255
45,778,207,0,361.0,279.0,frequent,True,True,CAFNet-D,1.1522576808929443,0.8520336747169495
45,778,207,0,361.0,279.0,frequent,True,True,CAFNet-DG,2.1620545864105227,1.9891122221946715
45,778,207,0,361.0,279.0,frequent,True,True,Global popularity,361.0,279.0
195,621,243,7,501.0,426.0,frequent,True,True,CAFNet,2.998082637786865,2.845866203308105
195,621,243,7,501.0,426.0,frequent,True,True,CAFNet-D,2.196961641311645,2.0488502979278564
195,621,243,7,501.0,426.0,frequent,True,True,CAFNet-DG,2.517410039901733,2.367656660079956
195,621,243,7,501.0,426.0,frequent,True,True,Global popularity,501.0,426.0
195,621,80,7,501.0,388.0,frequent,True,True,CAFNet,2.998082637786865,3.0803542137146
195,621,80,7,501.0,388.0,frequent,True,True,CAFNet-D,2.196961641311645,1.837626814842224
195,621,80,7,501.0,388.0,frequent,True,True,CAFNet-DG,2.517410039901733,2.3347177743911742
195,621,80,7,501.0,388.0,frequent,True,True,Global popularity,501.0,388.0
195,621,758,7,501.0,293.0,frequent,True,True,CAFNet,2.998082637786865,3.013190746307373
195,621,758,7,501.0,293.0,frequent,True,True,CAFNet-D,2.196961641311645,1.1853687763214111
195,621,758,7,501.0,293.0,frequent,True,True,CAFNet-DG,2.517410039901733,1.916497564315796
195,621,758,7,501.0,293.0,frequent,True,True,Global popularity,501.0,293.0
195,621,332,7,501.0,291.0,frequent,True,True,CAFNet,2.998082637786865,2.94286584854126
195,621,332,7,501.0,291.0,frequent,True,True,CAFNet-D,2.196961641311645,1.615082621574402
195,621,332,7,501.0,291.0,frequent,True,True,CAFNet-DG,2.517410039901733,2.1461959123611454
195,621,332,7,501.0,291.0,frequent,True,True,Global popularity,501.0,291.0
195,621,129,7,501.0,265.0,frequent,True,True,CAFNet,2.998082637786865,3.22086763381958
195,621,129,7,501.0,265.0,frequent,True,True,CAFNet-D,2.196961641311645,1.0986480712890625
195,621,129,7,501.0,265.0,frequent,True,True,CAFNet-DG,2.517410039901733,1.9475358963012692
195,621,129,7,501.0,265.0,frequent,True,True,Global popularity,501.0,265.0
175,621,401,7,501.0,461.0,frequent,True,True,CAFNet,4.5239458084106445,4.358341217041016
175,621,401,7,501.0,461.0,frequent,True,True,CAFNet-D,2.282196521759033,2.467607021331787
175,621,401,7,501.0,461.0,frequent,True,True,CAFNet-DG,3.1788962364196776,3.2239006996154784
175,621,401,7,501.0,461.0,frequent,True,True,Global popularity,501.0,461.0
175,621,252,7,501.0,440.0,frequent,True,True,CAFNet,4.5239458084106445,4.231495380401611
175,621,252,7,501.0,440.0,frequent,True,True,CAFNet-D,2.282196521759033,2.2856452465057373
175,621,252,7,501.0,440.0,frequent,True,True,CAFNet-DG,3.1788962364196776,3.063985300064087
175,621,252,7,501.0,440.0,frequent,True,True,Global popularity,501.0,440.0
175,621,978,7,501.0,405.0,frequent,True,True,CAFNet,4.5239458084106445,4.103757381439209
175,621,978,7,501.0,405.0,frequent,True,True,CAFNet-D,2.282196521759033,2.062042713165283
175,621,978,7,501.0,405.0,frequent,True,True,CAFNet-DG,3.1788962364196776,2.8787285804748537
175,621,978,7,501.0,405.0,frequent,True,True,Global popularity,501.0,405.0
175,621,80,7,501.0,388.0,frequent,True,True,CAFNet,4.5239458084106445,4.17833948135376
175,621,80,7,501.0,388.0,frequent,True,True,CAFNet-D,2.282196521759033,1.9985829591751096
175,621,80,7,501.0,388.0,frequent,True,True,CAFNet-DG,3.1788962364196776,2.8704855680465697
175,621,80,7,501.0,388.0,frequent,True,True,Global popularity,501.0,388.0
175,621,2,7,501.0,317.0,frequent,True,True,CAFNet,4.5239458084106445,4.323886871337891
175,621,2,7,501.0,317.0,frequent,True,True,CAFNet-D,2.282196521759033,1.6115100383758545
175,621,2,7,501.0,317.0,frequent,True,True,CAFNet-DG,3.1788962364196776,2.6964607715606688
175,621,2,7,501.0,317.0,frequent,True,True,Global popularity,501.0,317.0
195,74,861,7,206.0,194.0,frequent,True,True,CAFNet,3.103529691696167,1.2696352005004885
195,74,861,7,206.0,194.0,frequent,True,True,CAFNet-D,1.1208281517028809,0.4544518887996673
195,74,861,7,206.0,194.0,frequent,True,True,CAFNet-DG,1.913908767700196,0.7805252134799958
195,74,861,7,206.0,194.0,frequent,True,True,Global popularity,206.0,194.0
195,74,334,7,206.0,191.0,frequent,True,True,CAFNet,3.103529691696167,2.203819513320923
195,74,334,7,206.0,191.0,frequent,True,True,CAFNet-D,1.1208281517028809,0.2073346972465515
195,74,334,7,206.0,191.0,frequent,True,True,CAFNet-DG,1.913908767700196,1.0059286236763
195,74,334,7,206.0,191.0,frequent,True,True,Global popularity,206.0,191.0
195,74,445,7,206.0,191.0,frequent,True,True,CAFNet,3.103529691696167,3.094082832336426
195,74,445,7,206.0,191.0,frequent,True,True,CAFNet-D,1.1208281517028809,1.1565606594085691
195,74,445,7,206.0,191.0,frequent,True,True,CAFNet-DG,1.913908767700196,1.931569528579712
195,74,445,7,206.0,191.0,frequent,True,True,Global popularity,206.0,191.0
195,74,225,7,206.0,225.0,frequent,True,True,CAFNet,3.103529691696167,3.0628974437713623
195,74,225,7,206.0,225.0,frequent,True,True,CAFNet-D,1.1208281517028809,1.1261816024780271
195,74,225,7,206.0,225.0,frequent,True,True,CAFNet-DG,1.913908767700196,1.900867938995361
195,74,225,7,206.0,225.0,frequent,True,True,Global popularity,206.0,225.0
195,74,35,7,206.0,182.0,frequent,True,True,CAFNet,3.103529691696167,3.0841705799102783
195,74,35,7,206.0,182.0,frequent,True,True,CAFNet-D,1.1208281517028809,0.816429853439331
195,74,35,7,206.0,182.0,frequent,True,True,CAFNet-DG,1.913908767700196,1.72352614402771
195,74,35,7,206.0,182.0,frequent,True,True,Global popularity,206.0,182.0
45,74,225,0,215.0,228.0,frequent,True,True,CAFNet,2.2609336376190186,2.9037845134735107
45,74,225,0,215.0,228.0,frequent,True,True,CAFNet-D,-0.1673654615879058,0.0354322791099548
45,74,225,0,215.0,228.0,frequent,True,True,CAFNet-DG,0.803954178094864,1.1827731728553772
45,74,225,0,215.0,228.0,frequent,True,True,Global popularity,215.0,228.0
45,74,273,0,215.0,235.0,frequent,True,True,CAFNet,2.2609336376190186,3.1962947845458984
45,74,273,0,215.0,235.0,frequent,True,True,CAFNet-D,-0.1673654615879058,0.6067085266113281
45,74,273,0,215.0,235.0,frequent,True,True,CAFNet-DG,0.803954178094864,1.6425430297851564
45,74,273,0,215.0,235.0,frequent,True,True,Global popularity,215.0,235.0
45,74,334,0,215.0,195.0,frequent,True,True,CAFNet,2.2609336376190186,3.052258014678955
45,74,334,0,215.0,195.0,frequent,True,True,CAFNet-D,-0.1673654615879058,0.4264642000198364
45,74,334,0,215.0,195.0,frequent,True,True,CAFNet-DG,0.803954178094864,1.476781725883484
45,74,334,0,215.0,195.0,frequent,True,True,Global popularity,215.0,195.0
45,74,445,0,215.0,193.0,frequent,True,True,CAFNet,2.2609336376190186,2.9813663959503174
45,74,445,0,215.0,193.0,frequent,True,True,CAFNet-D,-0.1673654615879058,0.5298725366592407
45,74,445,0,215.0,193.0,frequent,True,True,CAFNet-DG,0.803954178094864,1.5104700803756712
45,74,445,0,215.0,193.0,frequent,True,True,Global popularity,215.0,193.0
45,74,683,0,215.0,239.0,frequent,True,True,CAFNet,2.2609336376190186,3.905883550643921
45,74,683,0,215.0,239.0,frequent,True,True,CAFNet-D,-0.1673654615879058,0.5129810571670532
45,74,683,0,215.0,239.0,frequent,True,True,CAFNet-DG,0.803954178094864,1.8701420545578
45,74,683,0,215.0,239.0,frequent,True,True,Global popularity,215.0,239.0
195,689,327,7,57.0,57.0,frequent,False,False,CAFNet,1.9259345531463623,0.6212388277053833
195,689,327,7,57.0,57.0,frequent,False,False,CAFNet-D,-0.1964967250823974,-2.351026058197021
195,689,327,7,57.0,57.0,frequent,False,False,CAFNet-DG,0.6524757862091065,-1.1621201038360591
195,689,327,7,57.0,57.0,frequent,False,False,Global popularity,57.0,57.0
195,689,548,7,57.0,57.0,frequent,False,False,CAFNet,1.9259345531463623,2.858901023864746
195,689,548,7,57.0,57.0,frequent,False,False,CAFNet-D,-0.1964967250823974,0.305937647819519
195,689,548,7,57.0,57.0,frequent,False,False,CAFNet-DG,0.6524757862091065,1.3271229982376098
195,689,548,7,57.0,57.0,frequent,False,False,Global popularity,57.0,57.0
195,689,856,7,57.0,57.0,frequent,False,False,CAFNet,1.9259345531463623,1.0269994735717771
195,689,856,7,57.0,57.0,frequent,False,False,CAFNet-D,-0.1964967250823974,-0.846648633480072
195,689,856,7,57.0,57.0,frequent,False,False,CAFNet-DG,0.6524757862091065,-0.0971893906593323
195,689,856,7,57.0,57.0,frequent,False,False,Global popularity,57.0,57.0
195,689,109,7,57.0,56.0,frequent,False,False,CAFNet,1.9259345531463623,2.078922748565674
195,689,109,7,57.0,56.0,frequent,False,False,CAFNet-D,-0.1964967250823974,0.5254390835762024
195,689,109,7,57.0,56.0,frequent,False,False,CAFNet-DG,0.6524757862091065,1.1468325495719909
195,689,109,7,57.0,56.0,frequent,False,False,Global popularity,57.0,56.0
195,689,131,7,57.0,56.0,frequent,False,False,CAFNet,1.9259345531463623,0.8402657508850098
195,689,131,7,57.0,56.0,frequent,False,False,CAFNet-D,-0.1964967250823974,-0.4508164823055267
195,689,131,7,57.0,56.0,frequent,False,False,CAFNet-DG,0.6524757862091065,0.0656164109706879
195,689,131,7,57.0,56.0,frequent,False,False,Global popularity,57.0,56.0
195,22,174,7,43.0,43.0,frequent,False,False,CAFNet,2.154317617416382,1.064764142036438
195,22,174,7,43.0,43.0,frequent,False,False,CAFNet-D,-0.6272908449172974,-0.0506298914551734
195,22,174,7,43.0,43.0,frequent,False,False,CAFNet-DG,0.4853525400161744,0.3955277219414712
195,22,174,7,43.0,43.0,frequent,False,False,Global popularity,43.0,43.0
195,22,239,7,43.0,43.0,frequent,False,False,CAFNet,2.154317617416382,1.05977201461792
195,22,239,7,43.0,43.0,frequent,False,False,CAFNet-D,-0.6272908449172974,-2.5632569789886475
195,22,239,7,43.0,43.0,frequent,False,False,CAFNet-DG,0.4853525400161744,-1.1140453815460205
195,22,239,7,43.0,43.0,frequent,False,False,Global popularity,43.0,43.0
195,22,264,7,43.0,43.0,frequent,False,False,CAFNet,2.154317617416382,0.3634884059429168
195,22,264,7,43.0,43.0,frequent,False,False,CAFNet-D,-0.6272908449172974,-4.09304141998291
195,22,264,7,43.0,43.0,frequent,False,False,CAFNet-DG,0.4853525400161744,-2.3104294896125794
195,22,264,7,43.0,43.0,frequent,False,False,Global popularity,43.0,43.0
195,22,353,7,43.0,43.0,frequent,False,False,CAFNet,2.154317617416382,-0.2269065231084823
195,22,353,7,43.0,43.0,frequent,False,False,CAFNet-D,-0.6272908449172974,-3.818992137908936
195,22,353,7,43.0,43.0,frequent,False,False,CAFNet-DG,0.4853525400161744,-2.3821578919887543
195,22,353,7,43.0,43.0,frequent,False,False,Global popularity,43.0,43.0
195,22,435,7,43.0,42.0,frequent,False,False,CAFNet,2.154317617416382,0.5148409605026245
195,22,435,7,43.0,42.0,frequent,False,False,CAFNet-D,-0.6272908449172974,-2.824391841888428
195,22,435,7,43.0,42.0,frequent,False,False,CAFNet-DG,0.4853525400161744,-1.488698720932007
195,22,435,7,43.0,42.0,frequent,False,False,Global popularity,43.0,42.0
195,307,45,7,46.0,46.0,frequent,False,False,CAFNet,0.9908583164215088,-0.1838279664516449
195,307,45,7,46.0,46.0,frequent,False,False,CAFNet-D,-1.4602502584457395,-0.8255330324172974
195,307,45,7,46.0,46.0,frequent,False,False,CAFNet-DG,-0.4798068284988401,-0.5688510060310363
195,307,45,7,46.0,46.0,frequent,False,False,Global popularity,46.0,46.0
195,307,76,7,46.0,46.0,frequent,False,False,CAFNet,0.9908583164215088,1.335545301437378
195,307,76,7,46.0,46.0,frequent,False,False,CAFNet-D,-1.4602502584457395,-0.7696388959884644
195,307,76,7,46.0,46.0,frequent,False,False,CAFNet-DG,-0.4798068284988401,0.0724347829818726
195,307,76,7,46.0,46.0,frequent,False,False,Global popularity,46.0,46.0
195,307,210,7,46.0,46.0,frequent,False,False,CAFNet,0.9908583164215088,0.3964425325393677
195,307,210,7,46.0,46.0,frequent,False,False,CAFNet-D,-1.4602502584457395,-4.362118244171143
195,307,210,7,46.0,46.0,frequent,False,False,CAFNet-DG,-0.4798068284988401,-2.4586939334869387
195,307,210,7,46.0,46.0,frequent,False,False,Global popularity,46.0,46.0
195,307,310,7,46.0,46.0,frequent,False,False,CAFNet,0.9908583164215088,0.088006354868412
195,307,310,7,46.0,46.0,frequent,False,False,CAFNet-D,-1.4602502584457395,-5.109549522399902
195,307,310,7,46.0,46.0,frequent,False,False,CAFNet-DG,-0.4798068284988401,-3.0305271714925768
195,307,310,7,46.0,46.0,frequent,False,False,Global popularity,46.0,46.0
195,307,740,7,46.0,46.0,frequent,False,False,CAFNet,0.9908583164215088,2.5682859420776367
195,307,740,7,46.0,46.0,frequent,False,False,CAFNet-D,-1.4602502584457395,0.2973183989524841
195,307,740,7,46.0,46.0,frequent,False,False,CAFNet-DG,-0.4798068284988401,1.2057054162025451
195,307,740,7,46.0,46.0,frequent,False,False,Global popularity,46.0,46.0
195,443,53,7,150.0,151.0,frequent,True,True,CAFNet,2.808495044708252,2.6655433177948
195,443,53,7,150.0,151.0,frequent,True,True,CAFNet-D,-0.1179253011941909,0.3194456398487091
195,443,53,7,150.0,151.0,frequent,True,True,CAFNet-DG,1.0526428371667862,1.2578847110271456
195,443,53,7,150.0,151.0,frequent,True,True,Global popularity,150.0,151.0
195,443,342,7,150.0,151.0,frequent,True,True,CAFNet,2.808495044708252,2.3442838191986084
195,443,342,7,150.0,151.0,frequent,True,True,CAFNet-D,-0.1179253011941909,1.0396380424499512
195,443,342,7,150.0,151.0,frequent,True,True,CAFNet-DG,1.0526428371667862,1.5614963531494142
195,443,342,7,150.0,151.0,frequent,True,True,Global popularity,150.0,151.0
195,443,656,7,150.0,151.0,frequent,True,True,CAFNet,2.808495044708252,3.2852113246917725
195,443,656,7,150.0,151.0,frequent,True,True,CAFNet-D,-0.1179253011941909,0.9238581657409668
195,443,656,7,150.0,151.0,frequent,True,True,CAFNet-DG,1.0526428371667862,1.8683994293212889
195,443,656,7,150.0,151.0,frequent,True,True,Global popularity,150.0,151.0
195,443,599,7,150.0,147.0,frequent,True,True,CAFNet,2.808495044708252,2.788102865219116
195,443,599,7,150.0,147.0,frequent,True,True,CAFNet-D,-0.1179253011941909,0.8128899931907654
195,443,599,7,150.0,147.0,frequent,True,True,CAFNet-DG,1.0526428371667862,1.602975142002106
195,443,599,7,150.0,147.0,frequent,True,True,Global popularity,150.0,147.0
195,443,720,7,150.0,147.0,frequent,True,True,CAFNet,2.808495044708252,2.7515039443969727
195,443,720,7,150.0,147.0,frequent,True,True,CAFNet-D,-0.1179253011941909,0.739919126033783
195,443,720,7,150.0,147.0,frequent,True,True,CAFNet-DG,1.0526428371667862,1.544553053379059
195,443,720,7,150.0,147.0,frequent,True,True,Global popularity,150.0,147.0
462,443,246,5,142.0,142.0,frequent,True,True,CAFNet,2.5436222553253174,3.739503145217896
462,443,246,5,142.0,142.0,frequent,True,True,CAFNet-D,1.3988583087921145,1.9393620491027832
462,443,246,5,142.0,142.0,frequent,True,True,CAFNet-DG,1.856763887405396,2.6594184875488285
462,443,246,5,142.0,142.0,frequent,True,True,Global popularity,142.0,142.0
462,443,265,5,142.0,143.0,frequent,True,True,CAFNet,2.5436222553253174,3.2485439777374268
462,443,265,5,142.0,143.0,frequent,True,True,CAFNet-D,1.3988583087921145,1.1870661973953247
462,443,265,5,142.0,143.0,frequent,True,True,CAFNet-DG,1.856763887405396,2.0116573095321657
462,443,265,5,142.0,143.0,frequent,True,True,Global popularity,142.0,143.0
462,443,946,5,142.0,143.0,frequent,True,True,CAFNet,2.5436222553253174,4.113229274749756
462,443,946,5,142.0,143.0,frequent,True,True,CAFNet-D,1.3988583087921145,1.9523462057113647
462,443,946,5,142.0,143.0,frequent,True,True,CAFNet-DG,1.856763887405396,2.816699433326721
462,443,946,5,142.0,143.0,frequent,True,True,Global popularity,142.0,143.0
462,443,937,5,142.0,140.0,frequent,True,True,CAFNet,2.5436222553253174,3.40505051612854
462,443,937,5,142.0,140.0,frequent,True,True,CAFNet-D,1.3988583087921145,1.7871453762054443
462,443,937,5,142.0,140.0,frequent,True,True,CAFNet-DG,1.856763887405396,2.4343074321746827
462,443,937,5,142.0,140.0,frequent,True,True,Global popularity,142.0,140.0
462,443,930,5,142.0,139.0,frequent,True,True,CAFNet,2.5436222553253174,3.2452268600463867
462,443,930,5,142.0,139.0,frequent,True,True,CAFNet-D,1.3988583087921145,1.4358582496643066
462,443,930,5,142.0,139.0,frequent,True,True,CAFNet-DG,1.856763887405396,2.159605693817139
462,443,930,5,142.0,139.0,frequent,True,True,Global popularity,142.0,139.0
175,443,53,7,150.0,151.0,frequent,True,True,CAFNet,3.181013822555542,2.890738248825073
175,443,53,7,150.0,151.0,frequent,True,True,CAFNet-D,0.3039583563804626,0.8652985095977783
175,443,53,7,150.0,151.0,frequent,True,True,CAFNet-DG,1.4547805428504943,1.675474405288696
175,443,53,7,150.0,151.0,frequent,True,True,Global popularity,150.0,151.0
175,443,342,7,150.0,151.0,frequent,True,True,CAFNet,3.181013822555542,2.8171427249908447
175,443,342,7,150.0,151.0,frequent,True,True,CAFNet-D,0.3039583563804626,0.8929611444473267
175,443,342,7,150.0,151.0,frequent,True,True,CAFNet-DG,1.4547805428504943,1.662633776664734
175,443,342,7,150.0,151.0,frequent,True,True,Global popularity,150.0,151.0
175,443,950,7,150.0,149.0,frequent,True,True,CAFNet,3.181013822555542,2.0197386741638184
175,443,950,7,150.0,149.0,frequent,True,True,CAFNet-D,0.3039583563804626,-0.0206312239170074
175,443,950,7,150.0,149.0,frequent,True,True,CAFNet-DG,1.4547805428504943,0.795516735315323
175,443,950,7,150.0,149.0,frequent,True,True,Global popularity,150.0,149.0
175,443,720,7,150.0,147.0,frequent,True,True,CAFNet,3.181013822555542,3.440696954727173
175,443,720,7,150.0,147.0,frequent,True,True,CAFNet-D,0.3039583563804626,1.1998618841171265
175,443,720,7,150.0,147.0,frequent,True,True,CAFNet-DG,1.4547805428504943,2.096195912361145
175,443,720,7,150.0,147.0,frequent,True,True,Global popularity,150.0,147.0
175,443,885,7,150.0,146.0,frequent,True,True,CAFNet,3.181013822555542,2.5372674465179443
175,443,885,7,150.0,146.0,frequent,True,True,CAFNet-D,0.3039583563804626,0.9629430174827576
175,443,885,7,150.0,146.0,frequent,True,True,CAFNet-DG,1.4547805428504943,1.5926727890968322
175,443,885,7,150.0,146.0,frequent,True,True,Global popularity,150.0,146.0
45,443,265,0,146.0,146.0,frequent,True,True,CAFNet,1.6117854118347168,3.1211860179901123
45,443,265,0,146.0,146.0,frequent,True,True,CAFNet-D,-0.1825464367866516,0.1935538500547409
45,443,265,0,146.0,146.0,frequent,True,True,CAFNet-DG,0.5351863026618958,1.3646067172288896
45,443,265,0,146.0,146.0,frequent,True,True,Global popularity,146.0,146.0
45,443,885,0,146.0,146.0,frequent,True,True,CAFNet,1.6117854118347168,2.292797327041626
45,443,885,0,146.0,146.0,frequent,True,True,CAFNet-D,-0.1825464367866516,0.6113697290420532
45,443,885,0,146.0,146.0,frequent,True,True,CAFNet-DG,0.5351863026618958,1.2839407682418824
45,443,885,0,146.0,146.0,frequent,True,True,Global popularity,146.0,146.0
45,443,246,0,146.0,145.0,frequent,True,True,CAFNet,1.6117854118347168,3.488689422607422
45,443,246,0,146.0,145.0,frequent,True,True,CAFNet-D,-0.1825464367866516,-0.0031667947769165
45,443,246,0,146.0,145.0,frequent,True,True,CAFNet-DG,0.5351863026618958,1.393575692176819
45,443,246,0,146.0,145.0,frequent,True,True,Global popularity,146.0,145.0
45,443,720,0,146.0,147.0,frequent,True,True,CAFNet,1.6117854118347168,2.521690368652344
45,443,720,0,146.0,147.0,frequent,True,True,CAFNet-D,-0.1825464367866516,-0.1302954107522964
45,443,720,0,146.0,147.0,frequent,True,True,CAFNet-DG,0.5351863026618958,0.93049890100956
45,443,720,0,146.0,147.0,frequent,True,True,Global popularity,146.0,147.0
45,443,838,0,146.0,145.0,frequent,True,True,CAFNet,1.6117854118347168,1.863120198249817
45,443,838,0,146.0,145.0,frequent,True,True,CAFNet-D,-0.1825464367866516,-0.0639109015464782
