model,fold,drug_index,drug_name,positive_count,AP,AUROC,nDCG@10,P@15,R@15,rare_AP,middle_AP,frequent_AP,nonhot100_AP,top15_hot_fraction,top_ranked_true_positives,top_ranked_nonhot_true_positives
CAFNet-D,0,45,amlodipine,7,0.35064935064935066,0.9911709364596902,0.39755419254520064,0.4,0.8571428571428571,,,0.35064935064935066,,1.0,nausea; asthenia; fatigue; abdominal pain; gastrointestinal pain,
CAFNet-DG,0,45,amlodipine,7,0.37390580770371706,0.9900130264871906,0.4457120479482909,0.3333333333333333,0.7142857142857143,,,0.37390580770371706,,1.0,nausea; asthenia; abdominal pain; gastrointestinal pain; fatigue,
CAFNet,0,53,argatroban,56,0.42186687867247596,0.8737435272616509,0.7720617383222416,0.6,0.16071428571428573,0.02783977335326985,0.1515679506129902,0.48932030199569243,0.18101772358705193,0.9333333333333333,headache; infection; gastrointestinal disorder; nausea; pain,atrial fibrillation; angina pectoris; angiopathy; cardiac arrest; haemoglobin
CAFNet-D,0,53,argatroban,56,0.44915057697578414,0.8777413950654889,0.8603818544462509,0.7333333333333333,0.19642857142857142,0.019664902998236332,0.13128300159118755,0.5530410475701284,0.16805279057604733,0.9333333333333333,headache; dizziness; nausea; vomiting; hypotension,angina pectoris; ventricular tachycardia; atrial fibrillation; cardiac failure; cardiac arrest
CAFNet-DG,0,53,argatroban,56,0.4960426158704026,0.8920004568991776,0.9266360779006398,0.8,0.21428571428571427,0.022460668633235006,0.21037055002879704,0.5830288994692043,0.27384888554967596,1.0,headache; nausea; dizziness; vomiting; hypotension,atrial fibrillation; angina pectoris; cardiac failure; ventricular tachycardia; cardiac arrest
CAFNet,0,56,azathioprine,22,0.058490901861972686,0.5781893004115226,0.08514311764162101,0.13333333333333333,0.09090909090909091,0.016490277941890844,0.009512003945226818,0.08353505978869785,0.016104649487877258,0.9333333333333333,diarrhoea; infection; alopecia; pneumonia; anaemia,pancytopenia; colitis; pancreatitis; agranulocytosis; erythema multiforme
CAFNet-D,0,56,azathioprine,22,0.02703415418856191,0.42148335203890763,0.08514311764162101,0.06666666666666667,0.045454545454545456,0.00964398799410736,0.008530044672932651,0.04334017319918657,0.012010551826806281,1.0,diarrhoea; infection; colitis; pneumonia; alopecia,colitis; pancreatitis; agranulocytosis; erythema multiforme; liver injury
CAFNet-DG,0,56,azathioprine,22,0.03878953875218382,0.47848858959970064,0.1100458831490401,0.06666666666666667,0.045454545454545456,0.009722187175721323,0.008164079060144139,0.05764820659222479,0.012318907618316121,1.0,diarrhoea; infection; pneumonia; alopecia; anaemia,colitis; pancreatitis; agranulocytosis; pancytopenia; erythema multiforme
CAFNet,0,70,brimonidine,62,0.3305130178969816,0.8170254741797037,0.7655934900767002,0.4666666666666667,0.11290322580645161,0.1453870070599645,0.09331803137513296,0.43927555893551745,0.09222981372161401,0.8666666666666667,asthenia; fatigue; dizziness; headache; nasopharyngitis,nasal congestion; eye pain; lacrimation increased; hyperaemia; acne
CAFNet-D,0,70,brimonidine,62,0.3080040445107812,0.8150526097189534,0.596517333399007,0.4666666666666667,0.11290322580645161,0.14601929003027905,0.061418784150933874,0.4116645759584187,0.06213089096151711,1.0,headache; dizziness; asthenia; dermatitis; fatigue,nasal congestion; arrhythmia; eye pain; acne; dry eye
CAFNet-DG,0,70,brimonidine,62,0.32430444307403955,0.8237228298490932,0.5795003533950693,0.4,0.0967741935483871,0.22445544518596283,0.1677320550557155,0.42847926855430774,0.10845923920237747,1.0,headache; asthenia; dizziness; fatigue; dermatitis,nasal congestion; eye pain; lacrimation increased; acne; dry eye
CAFNet,0,89,carvedilol,83,0.4302271674741926,0.8436247735177812,0.5017100640839689,0.7333333333333333,0.13253012048192772,0.05842385210386387,0.09063742314196366,0.5041252445764758,0.09625406135952681,1.0,nausea; cough; palpitations; asthenia; dizziness,orthostatic hypotension; nasal congestion; sinus congestion; diabetes mellitus; blood creatinine increased
CAFNet-D,0,89,carvedilol,83,0.43443549265150344,0.8593099070265694,0.5884674004369674,0.4666666666666667,0.08433734939759036,0.045073987267256796,0.11219801487839348,0.5215610808214188,0.11293232692406609,1.0,nausea; dizziness; vomiting; diarrhoea; asthenia,atrioventricular block; orthostatic hypotension; rales; nasal congestion; sinus bradycardia
CAFNet-DG,0,89,carvedilol,83,0.4490778355951725,0.8687527277055533,0.5708588662113935,0.4666666666666667,0.08433734939759036,0.06434811455342833,0.11126993293111928,0.5178561132492018,0.1210732259406842,1.0,nausea; dizziness; diarrhoea; asthenia; vomiting,orthostatic hypotension; nasal congestion; atrioventricular block; rales; sinus congestion
CAFNet,0,92,cefprozil,17,0.5733043529527974,0.9294358480341983,0.8263333286520083,0.6666666666666666,0.5882352941176471,,0.013333333333333334,0.6117336469398352,0.28042707219900886,0.9333333333333333,nausea; diarrhoea; abdominal pain; vomiting; gastrointestinal pain,vaginal infection; eosinophilia; pruritus genital; blood urea increased
CAFNet-D,0,92,cefprozil,17,0.5853817499474515,0.9195014751038593,0.7948833326720566,0.6666666666666666,0.5882352941176471,,0.0035842293906810036,0.6307755526606706,0.11894159667513839,1.0,nausea; vomiting; diarrhoea; dermatitis; rash,vaginal infection; eosinophilia; blood urea increased; pruritus genital
CAFNet-DG,0,92,cefprozil,17,0.598592905945058,0.9208862664820278,0.7975167679274938,0.6666666666666666,0.5882352941176471,,0.0036496350364963502,0.6436054579557869,0.3024970001714188,0.9333333333333333,nausea; vomiting; diarrhoea; abdominal pain; gastrointestinal pain,vaginal infection; eosinophilia; blood urea increased; pruritus genital
CAFNet,0,94,ceftriaxone,22,0.3436723081783727,0.8496071829405162,0.5684579545875155,0.5333333333333333,0.36363636363636365,0.004273504273504274,0.010705449401027536,0.4258273740335625,0.08158057375868756,1.0,diarrhoea; headache; rash; dermatitis; abdominal pain,thrombocytosis; thrombophlebitis; eosinophilia; vaginal infection; anaphylactic shock
CAFNet-D,0,94,ceftriaxone,22,0.31624888089420805,0.9051627384960719,0.4705561169627618,0.4,0.2727272727272727,0.03333333333333333,0.04408749145591251,0.3739125587369852,0.07859166901714937,1.0,headache; diarrhoea; dermatitis; rash; abdominal pain,eosinophilia; thrombocytosis; vaginal infection; glycosuria; anaphylactic shock
CAFNet-DG,0,94,ceftriaxone,22,0.3526972510550485,0.9079218106995885,0.6156886473955917,0.5333333333333333,0.36363636363636365,0.027777777777777776,0.02625804673997445,0.4200732048040878,0.08905503177692684,1.0,headache; diarrhoea; rash; dermatitis; abdominal pain,eosinophilia; thrombocytosis; vaginal infection; anaphylactic shock; thrombophlebitis
CAFNet,0,98,cetirizine,17,0.2491696848893463,0.9325666807152748,0.2940945979596687,0.4,0.35294117647058826,,,0.25169808182913217,0.002053388090349076,1.0,diarrhoea; asthenia; fatigue; vomiting; dizziness,otitis media
CAFNet-D,0,98,cetirizine,17,0.3116816551373033,0.9361791799626707,0.4256628105513781,0.3333333333333333,0.29411764705882354,,,0.31519700767025005,0.002109704641350211,1.0,dizziness; vomiting; diarrhoea; asthenia; fatigue,otitis media
CAFNet-DG,0,98,cetirizine,17,0.3045172275490423,0.9384670961526882,0.41388361500911724,0.4,0.35294117647058826,,,0.3060545790863939,0.002061855670103093,1.0,diarrhoea; dizziness; vomiting; asthenia; fatigue,otitis media
CAFNet,0,112,clobetasol,10,0.05603262923093898,0.8555894308943089,0.0,0.0,0.0,0.14324123077489487,0.20238095238095238,0.025362318840579712,0.09168758334289531,0.4,application site pain; application site irritation; application site burn; pain in extremity; telangiectasia,application site pain; application site irritation; application site burn; telangiectasia; application site pruritus
CAFNet-D,0,112,clobetasol,10,0.19132537686910756,0.9399390243902439,0.06362078819895167,0.26666666666666666,0.4,0.6285714285714286,0.5333333333333333,0.028671846096929337,0.5300733308787432,0.5333333333333333,application site pruritus; application site dryness; application site pain; application site burn; application site irritation,application site pruritus; application site dryness; application site pain; application site burn; application site irritation
CAFNet-DG,0,112,clobetasol,10,0.10487526905613073,0.924390243902439,0.0,0.06666666666666667,0.1,0.4635374149659863,0.4206349206349207,0.02681010928961749,0.2963963571258463,0.7333333333333333,application site pain; application site irritation; application site burn; application site pruritus; instillation site pain,application site pain; application site irritation; application site burn; application site pruritus; instillation site pain
CAFNet,0,122,cyclobenzaprine,17,0.4079082207606607,0.9537600096333313,0.5231737964779628,0.5333333333333333,0.47058823529411764,,0.1111111111111111,0.4275529547396224,0.029177299395842876,1.0,somnolence; headache; nausea; dizziness; tremor,dry throat; disturbance in attention; acne
CAFNet-D,0,122,cyclobenzaprine,17,0.5406436697538105,0.9639352158468301,0.6110191504983019,0.5333333333333333,0.47058823529411764,,0.1111111111111111,0.5661146350160505,0.035593746270438,1.0,headache; nausea; dizziness; asthenia; fatigue,dry throat; disturbance in attention; acne
CAFNet-DG,0,122,cyclobenzaprine,17,0.564452810658964,0.9667047986031669,0.7116179486056783,0.5333333333333333,0.47058823529411764,,0.2,0.5908747434793562,0.03941716236970741,1.0,headache; nausea; dizziness; somnolence; asthenia,dry throat; disturbance in attention; acne
CAFNet,0,135,dicloxacillin,31,0.3488743540002287,0.8105718018289619,0.7542686714597936,0.6,0.2903225806451613,0.022800261911851628,0.036248119492800344,0.4791853532831666,0.037702657453246566,1.0,gastrointestinal disorder; nausea; diarrhoea; vomiting; rash,phlebitis; proteinuria; eosinophilia; protein urine present; renal impairment
CAFNet-D,0,135,dicloxacillin,31,0.34080937810189194,0.83747027099454,0.6547216238913564,0.4666666666666667,0.22580645161290322,0.2247930417617667,0.04981769703186439,0.452704882299691,0.053226704278611495,1.0,nausea; vomiting; diarrhoea; dermatitis; rash,eosinophilia; phlebitis; protein urine present; pseudomembranous colitis; renal failure
CAFNet-DG,0,135,dicloxacillin,31,0.34897245064664895,0.8401500686698153,0.6547216238913564,0.5333333333333333,0.25806451612903225,0.12477415045255805,0.054679191775965974,0.4634662124742017,0.05715000445168887,1.0,nausea; vomiting; diarrhoea; dermatitis; rash,eosinophilia; phlebitis; protein urine present; pseudomembranous colitis; proteinuria
CAFNet,0,162,finasteride,22,0.17655256121073276,0.906986531986532,0.2583297509898471,0.26666666666666666,0.18181818181818182,0.5,0.18095238095238098,0.18406316673507575,0.12043813649490805,1.0,dizziness; dermatitis; rash; asthenia; pain,breast tenderness; gynaecomastia; breast enlargement; ejaculation disorder; sexual dysfunction
CAFNet-D,0,162,finasteride,22,0.24408579332821723,0.9385521885521885,0.3693362536342715,0.26666666666666666,0.18181818181818182,0.16666666666666666,0.37037037037037035,0.269673948652286,0.08267507356132592,1.0,dizziness; asthenia; dermatitis; rash; pain,libido decreased; disturbance in sexual arousal; breast enlargement; sexual dysfunction; gynaecomastia
CAFNet-DG,0,162,finasteride,22,0.2203404651617919,0.9372427983539096,0.34051969290975714,0.26666666666666666,0.18181818181818182,1.0,0.33333333333333337,0.23093598833362838,0.12867518833076108,1.0,dizziness; asthenia; dermatitis; rash; pain,breast tenderness; breast enlargement; gynaecomastia; libido decreased; disturbance in sexual arousal
CAFNet,0,172,flutamide,12,0.12771033943224575,0.8972335369993211,0.06625422345438896,0.13333333333333333,0.16666666666666666,0.011235955056179775,,0.139009696091019,0.15513047111862016,0.8666666666666667,diarrhoea; haematuria; menopausal symptoms; nausea; hot flush,menopausal symptoms; hot flush; rectal haemorrhage; bladder pain; cystitis
CAFNet-D,0,172,flutamide,12,0.16987444331440046,0.8372369314324507,0.3379841448267985,0.26666666666666666,0.3333333333333333,0.005952380952380952,,0.18557855442401694,0.0856854143294051,1.0,nausea; diarrhoea; dermatitis; rash; hot flush,hot flush; menopausal symptoms; bladder pain; cystitis noninfective; cystitis
CAFNet-DG,0,172,flutamide,12,0.19385674458385624,0.8709266802443991,0.3635258198964459,0.26666666666666666,0.3333333333333333,0.006993006993006993,,0.21065169496880493,0.317855589809067,1.0,nausea; diarrhoea; dermatitis; rash; menopausal symptoms,menopausal symptoms; hot flush; bladder pain; rectal haemorrhage; cystitis noninfective
CAFNet,0,179,romidepsin,43,0.32403376317419763,0.8804929939109383,0.370635518541417,0.5333333333333333,0.18604651162790697,0.004273504273504274,0.018017021482368018,0.3655649455135125,0.01806780570717827,0.9333333333333333,headache; pruritus; cough; asthenia; oedema peripheral,dermatitis exfoliative; hyponatraemia; lymphopenia; blood uric acid increased; hyperuricaemia
CAFNet-D,0,179,romidepsin,43,0.3301514276673433,0.7680776661042232,0.7600791051976192,0.6666666666666666,0.23255813953488372,0.005263157894736842,0.01336039009306336,0.3817126386621167,0.010578983022697958,1.0,headache; nausea; asthenia; vomiting; diarrhoea,hyponatraemia; hyperuricaemia; dermatitis exfoliative; hypocalcaemia; hypophosphataemia
CAFNet-DG,0,179,romidepsin,43,0.3354097682014541,0.8109456386178564,0.6874708847784538,0.6,0.20930232558139536,0.005050505050505051,0.014224615301500976,0.3819688979491855,0.011348061453598767,1.0,headache; asthenia; nausea; fatigue; diarrhoea,hyponatraemia; dermatitis exfoliative; hyperuricaemia; hypophosphataemia; hypocalcaemia
CAFNet,0,180,furosemide,20,0.04674081445433798,0.7072895277207392,0.0,0.0,0.0,0.17337513484358144,0.016267064749185222,0.06075072448289012,0.1117083544152691,0.9333333333333333,blood creatinine increased; hyponatraemia; hypokalaemia; hypochloraemia; paraesthesia,blood creatinine increased; hyponatraemia; hypochloraemia; agranulocytosis; blood uric acid increased
CAFNet-D,0,180,furosemide,20,0.06928660509750677,0.7945071868583162,0.0,0.0,0.0,0.029057969217543684,0.05695352214960058,0.0818462240921711,0.2104585650252451,1.0,thrombocytopenia; blood creatinine increased; hypokalaemia; hyponatraemia; eosinophilia,blood creatinine increased; hyponatraemia; eosinophilia; agranulocytosis; thrombophlebitis
CAFNet-DG,0,180,furosemide,20,0.06375533088252837,0.7929671457905544,0.0,0.0,0.0,0.09135279347143754,0.049516908212560384,0.07306831222041346,0.20414939715034677,1.0,blood creatinine increased; hyponatraemia; thrombocytopenia; hypokalaemia; paraesthesia,blood creatinine increased; hyponatraemia; agranulocytosis; eosinophilia; blood uric acid increased
CAFNet,0,187,gliclazide,42,0.4868107360260314,0.9342236894757903,0.6906478832608419,0.6,0.21428571428571427,,0.013157894736842105,0.500433122980824,0.2556541280635131,1.0,headache; insomnia; asthenia; dizziness; nausea,injury; angina pectoris; skin disorder; gastritis; otitis media
CAFNet-D,0,187,gliclazide,42,0.5006088577436363,0.9043867547018808,0.8389574121760602,0.7333333333333333,0.2619047619047619,,0.004694835680751174,0.5193032455074447,0.07252983928941963,1.0,headache; dizziness; nausea; asthenia; diarrhoea,injury; skin disorder; angina pectoris; gastritis; osteoarthritis
CAFNet-DG,0,187,gliclazide,42,0.5360887615547162,0.9187174869947979,0.8414929602590189,0.8,0.2857142857142857,,0.004901960784313725,0.5522885497644393,0.19850196335959502,1.0,headache; dizziness; nausea; asthenia; diarrhoea,injury; angina pectoris; skin disorder; gastritis; osteoarthritis
CAFNet,0,197,hydromorphone,27,0.5851077818822049,0.8632655406181776,0.9305687780632227,0.7333333333333333,0.4074074074074074,,,0.611437571211126,0.00398406374501992,0.9333333333333333,nausea; somnolence; headache; vomiting; dizziness,chest discomfort
CAFNet-D,0,197,hydromorphone,27,0.6556851968061217,0.9754873798307097,0.8454256604216017,0.8,0.4444444444444444,,,0.6569110392089902,0.07692307692307693,1.0,headache; nausea; dizziness; vomiting; dermatitis,chest discomfort
CAFNet-DG,0,197,hydromorphone,27,0.6470525516489875,0.9696273315714888,0.8512360941594274,0.8,0.4444444444444444,,,0.6502059782911436,0.058823529411764705,1.0,nausea; headache; dizziness; vomiting; somnolence,chest discomfort
CAFNet,0,202,idarubicin,12,0.36596020436351795,0.9566361167684997,0.4636440365082036,0.26666666666666666,0.3333333333333333,,,0.36864419787920666,0.5096153846153846,1.0,body temperature increased; diarrhoea; nausea; abdominal pain; vomiting,mucosal inflammation; haemoglobin
CAFNet-D,0,202,idarubicin,12,0.46854158912982435,0.9726748133061779,0.5541432109622958,0.4,0.5,,,0.46854158912982435,0.3611111111111111,1.0,nausea; headache; vomiting; diarrhoea; abdominal pain,mucosal inflammation; haemoglobin
CAFNet-DG,0,202,idarubicin,12,0.5396777761966716,0.9704684317718941,0.642186726668901,0.4,0.5,,,0.540804974360732,0.5256410256410257,1.0,nausea; headache; diarrhoea; vomiting; body temperature increased,mucosal inflammation; haemoglobin
CAFNet,0,229,lomefloxacin,14,0.1981641722709888,0.8104956268221575,0.27426546945536817,0.4,0.42857142857142855,0.004694835680751174,0.01282051282051282,0.23630624167093417,0.06870551565066549,1.0,headache; nausea; dizziness; diarrhoea; abdominal pain,photosensitivity reaction; eosinophilia; leukocytosis; blood potassium decreased; blood creatinine increased
CAFNet-D,0,229,lomefloxacin,14,0.3744293507861,0.8505102040816327,0.6745711375739727,0.4,0.42857142857142855,0.0064516129032258064,0.014492753623188406,0.44196680994109827,0.02549591555499555,1.0,nausea; headache; dizziness; diarrhoea; abdominal pain,eosinophilia; photosensitivity reaction; blood creatinine increased; blood urea increased; leukocytosis
CAFNet-DG,0,229,lomefloxacin,14,0.34686902164579486,0.8549562682215743,0.5321408435198609,0.4,0.42857142857142855,0.006756756756756757,0.014925373134328358,0.409586149926797,0.04077780611233616,1.0,headache; nausea; dizziness; diarrhoea; abdominal pain,photosensitivity reaction; eosinophilia; blood creatinine increased; leukocytosis; blood urea increased
CAFNet,0,232,losartan,35,0.3157827259494636,0.927275435721734,0.3570575716509045,0.3333333333333333,0.14285714285714285,,,0.32371401964974084,0.12642595224949532,0.9333333333333333,palpitations; infection; diarrhoea; asthenia; fatigue,nasal congestion; orthostatic hypotension; hyperkalaemia; swelling; gastritis
CAFNet-D,0,232,losartan,35,0.3677390139679688,0.9423208699538209,0.3469511918686966,0.3333333333333333,0.14285714285714285,,,0.37145700292939826,0.08754704225861158,1.0,dizziness; diarrhoea; asthenia; fatigue; dyspepsia,nasal congestion; swelling; injury; gastritis; orthostatic hypotension
CAFNet-DG,0,232,losartan,35,0.3720347349852129,0.9467004319976164,0.36837563413888724,0.4,0.17142857142857143,,,0.3743346548009334,0.12843775992815187,1.0,diarrhoea; asthenia; dizziness; fatigue; dyspepsia,nasal congestion; orthostatic hypotension; swelling; gastritis; injury
CAFNet,0,243,orciprenaline,34,0.5474394860106035,0.9693014705882353,0.7162874455029681,0.6666666666666666,0.29411764705882354,,,0.554921105005324,0.07222222222222222,0.9333333333333333,tremor; headache; insomnia; nausea; tension,abdominal discomfort; asthma
CAFNet-D,0,243,orciprenaline,34,0.6177474636838209,0.9753370098039216,0.8701249883466594,0.6666666666666666,0.29411764705882354,,,0.6204389991035004,0.03382034632034632,1.0,headache; dizziness; nausea; vomiting; asthenia,abdominal discomfort; asthma
CAFNet-DG,0,243,orciprenaline,34,0.6432538194348835,0.975765931372549,1.0,0.7333333333333333,0.3235294117647059,,,0.6459581681581581,0.07478632478632478,1.0,headache; dizziness; nausea; vomiting; diarrhoea,abdominal discomfort; asthma
CAFNet,0,251,mexiletine,36,0.5042293318148795,0.9514323822778937,0.7015099647232445,0.7333333333333333,0.3055555555555556,,0.09722222222222221,0.5268846203998098,0.05213314362150455,1.0,headache; nausea; fatigue; asthenia; abdominal pain,angina pectoris; arrhythmia; ventricular arrhythmia; coordination abnormal; abdominal discomfort
CAFNet-D,0,251,mexiletine,36,0.47832764540853917,0.937166550684296,0.7877736340270853,0.7333333333333333,0.3055555555555556,,0.06158357771260997,0.5127038648932355,0.05151673266241358,1.0,headache; nausea; vomiting; asthenia; diarrhoea,abdominal discomfort; angina pectoris; arrhythmia; sensory loss; ventricular extrasystoles
CAFNet-DG,0,251,mexiletine,36,0.5198118219308543,0.9467350962653676,0.7280855459907165,0.7333333333333333,0.3055555555555556,,0.12000000000000001,0.5466067552153204,0.06994687416195723,1.0,headache; nausea; asthenia; vomiting; fatigue,angina pectoris; arrhythmia; abdominal discomfort; sensory loss; ventricular extrasystoles
CAFNet,0,255,midodrine,17,0.24885025000785352,0.7418267204527667,0.47293279348325773,0.26666666666666666,0.23529411764705882,,0.00641025641025641,0.2741159232428019,0.015150555829109588,1.0,headache; nausea; dermatitis; rash; pruritus,sleep disorder; hepatic function abnormal; micturition urgency; urinary retention
CAFNet-D,0,255,midodrine,17,0.28840505129698396,0.9074598109458727,0.46582309483828654,0.26666666666666666,0.23529411764705882,,0.008130081300813009,0.3095109068324903,0.013857115261453414,1.0,nausea; headache; dermatitis; rash; paraesthesia,sleep disorder; urinary retention; micturition urgency; hepatic function abnormal
CAFNet-DG,0,255,midodrine,17,0.2861819619724305,0.8679631525076765,0.494639655562801,0.26666666666666666,0.23529411764705882,,0.008130081300813009,0.3077306357364036,0.02389812393954581,1.0,headache; nausea; dermatitis; rash; pruritus,sleep disorder; hepatic function abnormal; urinary retention; micturition urgency
CAFNet,0,268,nabumetone,91,0.5652513784492869,0.8525793143733342,1.0,0.9333333333333333,0.15384615384615385,0.005876023470468569,0.07848124098124099,0.629870530776913,0.1047412319720805,1.0,headache; nausea; diarrhoea; dizziness; vomiting,arrhythmia; increased appetite; anaphylactic shock; blood uric acid increased; photosensitivity reaction
CAFNet-D,0,268,nabumetone,91,0.5094630686507863,0.8380246553004028,1.0,1.0,0.16483516483516483,0.007175674340480189,0.02898407712878944,0.5934118387434559,0.055515293345134595,1.0,nausea; headache; vomiting; dizziness; diarrhoea,increased appetite; rectal haemorrhage; gastritis; gastroenteritis; dermatitis bullous
CAFNet-DG,0,268,nabumetone,91,0.5561194363253922,0.8564005208523481,1.0,1.0,0.16483516483516483,0.007243107769423558,0.03157882145366099,0.6243960596207403,0.06217601078482183,1.0,headache; nausea; vomiting; dizziness; diarrhoea,increased appetite; photosensitivity reaction; rectal haemorrhage; gastritis; nightmare
CAFNet,0,272,naphazoline,6,0.01311564385923553,0.7112010796221322,0.0,0.0,0.0,0.0913154533844189,0.027486256871564217,0.007751937984496124,0.022336680575654654,0.8,eye pain; ocular discomfort; ocular hyperaemia; endophthalmitis; eye oedema,eye pain; ocular discomfort; ocular hyperaemia; endophthalmitis; eye oedema
CAFNet-D,0,272,naphazoline,6,0.006256459535636544,0.4610323886639676,0.0,0.0,0.0,0.009507164512796193,0.010583844308184483,0.009345794392523364,0.00775932333133177,0.9333333333333333,eye pain; keratitis; eye oedema; ocular discomfort; ocular hyperaemia,eye pain; keratitis; eye oedema; ocular discomfort; ocular hyperaemia
CAFNet-DG,0,272,naphazoline,6,0.008066782237533852,0.5841767881241565,0.0,0.0,0.0,0.017218939635899076,0.013251565314349428,0.008695652173913044,0.011324328908869164,1.0,eye pain; ocular discomfort; ocular hyperaemia; eye oedema; endophthalmitis,eye pain; ocular discomfort; ocular hyperaemia; eye oedema; endophthalmitis
CAFNet,0,296,paclitaxel,32,0.10587744936683774,0.7538006756756757,0.08514311764162101,0.13333333333333333,0.0625,0.0136986301369863,0.08829691972928047,0.13262983755195623,0.09026659365093026,0.6666666666666666,dyspnoea; hypoglycaemia; hyperglycaemia; cardiac failure congestive; decreased appetite,hypoglycaemia; cardiac failure congestive; cardiac arrest; hypocalcaemia; hyponatraemia
CAFNet-D,0,296,paclitaxel,32,0.09734857354919141,0.8002533783783784,0.0,0.0,0.0,0.016129032258064516,0.06475798547492329,0.11354525612610354,0.09908072578870795,1.0,cough; decreased appetite; dyspnoea; hypokalaemia; hyponatraemia,hyponatraemia; hypocalcaemia; hypophosphataemia; hypoglycaemia; fluid retention
CAFNet-DG,0,296,paclitaxel,32,0.10294109635171128,0.8130522349272349,0.06362078819895167,0.06666666666666667,0.03125,0.017857142857142856,0.07950480841693522,0.11893356647860395,0.08143772371442445,0.9333333333333333,dyspnoea; decreased appetite; hyperglycaemia; cough; hypokalaemia,hypoglycaemia; hypocalcaemia; hyponatraemia; hypophosphataemia; cardiac failure congestive
